Date,Total profit/loss,Net liquidity,Drawdown,ROI
1/2/2013,-2.27,514.73,0,-0.44
1/3/2013,-7.27,509.73,0.97,-1.41
1/4/2013,-3.27,513.73,0.19,-0.63
1/5/2013,-3.27,513.73,0.19,-0.63
1/6/2013,-3.27,513.73,0.19,-0.63
1/7/2013,-11.27,505.73,1.75,-2.18
1/8/2013,-16.27,500.73,2.72,-3.15
1/9/2013,-12.27,504.73,1.94,-2.37
1/10/2013,0.73,517.73,0,0.14
1/11/2013,-0.27,516.73,0.19,-0.05
1/12/2013,-0.27,516.73,0.19,-0.05
1/13/2013,-0.27,516.73,0.19,-0.05
1/14/2013,-4.27,512.73,0.97,-0.83
1/15/2013,-4.27,512.73,0.97,-0.83
1/16/2013,-8.27,508.73,1.74,-1.6
1/17/2013,6.73,523.73,0,1.3
1/18/2013,9.73,526.73,0,1.88
1/19/2013,9.73,526.73,0,1.88
1/20/2013,9.73,526.73,0,1.88
1/21/2013,9.73,526.73,0,1.88
1/22/2013,23.19,540.19,0,4.49
1/23/2013,23.19,540.19,0,4.49
1/24/2013,24.19,541.19,0,4.68
1/25/2013,33.19,550.19,0,6.42
1/26/2013,33.19,550.19,0,6.42
1/27/2013,33.19,550.19,0,6.42
1/28/2013,36.19,553.19,0,7
1/29/2013,52.19,569.19,0,10.09
1/30/2013,35.19,552.19,2.99,6.81
1/31/2013,34.19,551.19,3.16,6.61
2/1/2013,54.19,571.19,0,10.48
2/2/2013,54.19,571.19,0,10.48
2/3/2013,54.19,571.19,0,10.48
2/4/2013,27.19,544.19,4.73,5.26
2/5/2013,52.19,569.19,0.35,10.09
2/6/2013,54.19,571.19,0,10.48
2/7/2013,48.19,565.19,1.05,9.32
2/8/2013,66.19,583.19,0,12.8
2/9/2013,66.19,583.19,0,12.8
2/10/2013,66.19,583.19,0,12.8
2/11/2013,64.19,581.19,0.34,12.42
2/12/2013,68.66,585.66,0,13.28
2/13/2013,69.66,586.66,0,13.47
2/14/2013,68.66,585.66,0.17,13.28
2/15/2013,63.66,580.66,1.02,12.31
2/16/2013,63.66,580.66,1.02,12.31
2/17/2013,63.66,580.66,1.02,12.31
2/18/2013,63.66,580.66,1.02,12.31
2/19/2013,75.66,592.66,0,14.63
2/20/2013,52.66,569.66,3.88,10.19
2/21/2013,46.66,563.66,4.89,9.03
2/22/2013,58.66,575.66,2.87,11.35
2/23/2013,58.66,575.66,2.87,11.35
2/24/2013,58.66,575.66,2.87,11.35
2/25/2013,42.66,559.66,5.57,8.25
2/26/2013,40.66,557.66,5.91,7.86
2/27/2013,57.66,574.66,3.04,11.15
2/28/2013,52.66,569.66,3.88,10.19
3/1/2013,57.66,574.66,3.04,11.15
3/2/2013,57.66,574.66,3.04,11.15
3/3/2013,57.66,574.66,3.04,11.15
3/4/2013,61.66,578.66,2.36,11.93
3/5/2013,85.66,602.66,0,16.57
3/6/2013,85.12,602.12,0.09,16.46
3/7/2013,88.12,605.12,0,17.04
3/8/2013,98.12,615.12,0,18.98
3/9/2013,98.12,615.12,0,18.98
3/10/2013,98.12,615.12,0,18.98
3/11/2013,107.12,624.12,0,20.72
3/12/2013,100.12,617.12,1.12,19.37
3/13/2013,104.12,621.12,0.48,20.14
3/14/2013,118.12,635.12,0,22.85
3/15/2013,111.12,628.12,1.1,21.49
3/16/2013,111.12,628.12,1.1,21.49
3/17/2013,111.12,628.12,1.1,21.49
3/18/2013,101.12,618.12,2.68,19.56
3/19/2013,94.12,611.12,3.78,18.21
3/20/2013,103.12,620.12,2.36,19.95
3/21/2013,84.12,601.12,5.35,16.27
3/22/2013,113.12,630.12,0.79,21.88
3/23/2013,113.12,630.12,0.79,21.88
3/24/2013,113.12,630.12,0.79,21.88
3/25/2013,96.12,613.12,3.46,18.59
3/26/2013,118.12,635.12,0,22.85
3/27/2013,114.12,631.12,0.63,22.07
3/28/2013,128.58,645.58,0,24.87
3/29/2013,128.58,645.58,0,24.87
3/30/2013,128.58,645.58,0,24.87
3/31/2013,128.58,645.58,0,24.87
4/1/2013,114.58,631.58,2.17,22.16
