Date,Time,Trade No.,Price,Effect,Legs
1/2/2013,2:45:00 PM CST,1,0.47,debit,"buy to open 1 x $150 call exp. 2/16/2013 (45 DTE); sell to open 1 x $152 call exp. 2/16/2013 (45 DTE)"
1/22/2013,2:45:00 PM CST,1,0.77,credit,"sell to close 1 x $150 call exp. 2/16/2013 (25 DTE); buy to close 1 x $152 call exp. 2/16/2013 (25 DTE)"
1/22/2013,2:45:00 PM CST,2,0.84,debit,"buy to open 1 x $152 call exp. 3/16/2013 (53 DTE); sell to open 1 x $155 call exp. 3/16/2013 (53 DTE)"
2/12/2013,2:45:00 PM CST,2,1.31,credit,"sell to close 1 x $152 call exp. 3/16/2013 (32 DTE); buy to close 1 x $155 call exp. 3/16/2013 (32 DTE)"
2/12/2013,2:45:00 PM CST,3,0.49,debit,"buy to open 1 x $155 call exp. 3/28/2013 (44 DTE); sell to open 1 x $157 call exp. 3/28/2013 (44 DTE)"
3/6/2013,2:45:00 PM CST,3,0.68,credit,"sell to close 1 x $155 call exp. 3/28/2013 (22 DTE); buy to close 1 x $157 call exp. 3/28/2013 (22 DTE)"
3/6/2013,2:45:00 PM CST,4,0.7,debit,"buy to open 1 x $157 call exp. 4/20/2013 (45 DTE); sell to open 1 x $160 call exp. 4/20/2013 (45 DTE)"
3/28/2013,2:45:00 PM CDT,4,1.17,credit,"sell to close 1 x $157 call exp. 4/20/2013 (23 DTE); buy to close 1 x $160 call exp. 4/20/2013 (23 DTE)"
3/28/2013,2:45:00 PM CDT,5,0.77,debit,"buy to open 1 x $160 call exp. 5/18/2013 (51 DTE); sell to open 1 x $163 call exp. 5/18/2013 (51 DTE)"
4/29/2013,2:45:00 PM CDT,5,1.01,credit,"sell to close 1 x $160 call exp. 5/18/2013 (19 DTE); buy to close 1 x $163 call exp. 5/18/2013 (19 DTE)"
4/29/2013,2:45:00 PM CDT,6,0.74,debit,"buy to open 1 x $163 call exp. 6/22/2013 (54 DTE); sell to open 1 x $166 call exp. 6/22/2013 (54 DTE)"
5/7/2013,2:45:00 PM CDT,6,1.3,credit,"sell to close 1 x $163 call exp. 6/22/2013 (46 DTE); buy to close 1 x $166 call exp. 6/22/2013 (46 DTE)"
5/7/2013,2:45:00 PM CDT,7,0.5,debit,"buy to open 1 x $166 call exp. 6/22/2013 (46 DTE); sell to open 1 x $168 call exp. 6/22/2013 (46 DTE)"
5/14/2013,2:45:00 PM CDT,7,0.85,credit,"sell to close 1 x $166 call exp. 6/22/2013 (39 DTE); buy to close 1 x $168 call exp. 6/22/2013 (39 DTE)"
5/14/2013,2:45:00 PM CDT,8,0.59,debit,"buy to open 1 x $169 call exp. 6/28/2013 (45 DTE); sell to open 1 x $172 call exp. 6/28/2013 (45 DTE)"
6/7/2013,2:45:00 PM CDT,8,0.21,credit,"sell to close 1 x $169 call exp. 6/28/2013 (21 DTE); buy to close 1 x $172 call exp. 6/28/2013 (21 DTE)"
6/7/2013,2:45:00 PM CDT,9,1.1,debit,"buy to open 1 x $167 call exp. 7/20/2013 (43 DTE); sell to open 1 x $171 call exp. 7/20/2013 (43 DTE)"
7/1/2013,2:45:00 PM CDT,9,0.13,credit,"sell to close 1 x $167 call exp. 7/20/2013 (19 DTE); buy to close 1 x $171 call exp. 7/20/2013 (19 DTE)"
7/1/2013,2:45:00 PM CDT,10,0.76,debit,"buy to open 1 x $166 call exp. 8/17/2013 (47 DTE); sell to open 1 x $169 call exp. 8/17/2013 (47 DTE)"
7/9/2013,2:45:00 PM CDT,10,1.26,credit,"sell to close 1 x $166 call exp. 8/17/2013 (39 DTE); buy to close 1 x $169 call exp. 8/17/2013 (39 DTE)"
7/9/2013,2:45:00 PM CDT,11,0.66,debit,"buy to open 1 x $169 call exp. 8/17/2013 (39 DTE); sell to open 1 x $172 call exp. 8/17/2013 (39 DTE)"
7/11/2013,2:45:00 PM CDT,11,1.09,credit,"sell to close 1 x $169 call exp. 8/17/2013 (37 DTE); buy to close 1 x $172 call exp. 8/17/2013 (37 DTE)"
7/11/2013,2:45:00 PM CDT,12,0.71,debit,"buy to open 1 x $171 call exp. 8/17/2013 (37 DTE); sell to open 1 x $174 call exp. 8/17/2013 (37 DTE)"
7/29/2013,2:45:00 PM CDT,12,0.53,credit,"sell to close 1 x $171 call exp. 8/17/2013 (19 DTE); buy to close 1 x $174 call exp. 8/17/2013 (19 DTE)"
7/29/2013,2:45:00 PM CDT,13,1.08,debit,"buy to open 1 x $172 call exp. 9/21/2013 (54 DTE); sell to open 1 x $176 call exp. 9/21/2013 (54 DTE)"
9/3/2013,2:45:00 PM CDT,13,0.06,credit,"sell to close 1 x $172 call exp. 9/21/2013 (18 DTE); buy to close 1 x $176 call exp. 9/21/2013 (18 DTE)"
9/3/2013,2:45:00 PM CDT,14,1.04,debit,"buy to open 1 x $168 call exp. 10/19/2013 (46 DTE); sell to open 1 x $172 call exp. 10/19/2013 (46 DTE)"
9/10/2013,2:45:00 PM CDT,14,1.86,credit,"sell to close 1 x $168 call exp. 10/19/2013 (39 DTE); buy to close 1 x $172 call exp. 10/19/2013 (39 DTE)"
9/10/2013,2:45:00 PM CDT,15,0.89,debit,"buy to open 1 x $171 call exp. 10/19/2013 (39 DTE); sell to open 1 x $174 call exp. 10/19/2013 (39 DTE)"
9/18/2013,2:45:00 PM CDT,15,1.68,credit,"sell to close 1 x $171 call exp. 10/19/2013 (31 DTE); buy to close 1 x $174 call exp. 10/19/2013 (31 DTE)"
9/18/2013,2:45:00 PM CDT,16,0.74,debit,"buy to open 1 x $177 call exp. 11/16/2013 (59 DTE); sell to open 1 x $180 call exp. 11/16/2013 (59 DTE)"
10/28/2013,2:45:00 PM CDT,16,0.98,credit,"sell to close 1 x $177 call exp. 11/16/2013 (19 DTE); buy to close 1 x $180 call exp. 11/16/2013 (19 DTE)"
10/28/2013,2:45:00 PM CDT,17,0.93,debit,"buy to open 1 x $180 call exp. 12/21/2013 (54 DTE); sell to open 1 x $184 call exp. 12/21/2013 (54 DTE)"
11/14/2013,2:45:00 PM CST,17,1.43,credit,"sell to close 1 x $180 call exp. 12/21/2013 (37 DTE); buy to close 1 x $184 call exp. 12/21/2013 (37 DTE)"
11/14/2013,2:45:00 PM CST,18,0.81,debit,"buy to open 1 x $182 call exp. 12/31/2013 (47 DTE); sell to open 1 x $185 call exp. 12/31/2013 (47 DTE)"
12/10/2013,2:45:00 PM CST,18,0.75,credit,"sell to close 1 x $182 call exp. 12/31/2013 (21 DTE); buy to close 1 x $185 call exp. 12/31/2013 (21 DTE)"
12/10/2013,2:45:00 PM CST,19,0.82,debit,"buy to open 1 x $183 call exp. 1/18/2014 (39 DTE); sell to open 1 x $186 call exp. 1/18/2014 (39 DTE)"
12/24/2013,2:45:00 PM CST,19,1.31,credit,"sell to close 1 x $183 call exp. 1/18/2014 (25 DTE); buy to close 1 x $186 call exp. 1/18/2014 (25 DTE)"
12/24/2013,2:45:00 PM CST,20,0.48,debit,"buy to open 1 x $186 call exp. 1/24/2014 (31 DTE); sell to open 1 x $188 call exp. 1/24/2014 (31 DTE)"
12/31/2013,2:45:00 PM CST,20,0.76,credit,"sell to close 1 x $186 call exp. 1/24/2014 (24 DTE); buy to close 1 x $188 call exp. 1/24/2014 (24 DTE)"
12/31/2013,2:45:00 PM CST,21,0.95,debit,"buy to open 1 x $189 call exp. 2/22/2014 (53 DTE); sell to open 1 x $193 call exp. 2/22/2014 (53 DTE)"
2/3/2014,2:45:00 PM CST,21,0.01,credit,"sell to close 1 x $189 call exp. 2/22/2014 (19 DTE); buy to close 1 x $193 call exp. 2/22/2014 (19 DTE)"
2/3/2014,2:45:00 PM CST,22,1.22,debit,"buy to open 1 x $179 call exp. 3/22/2014 (47 DTE); sell to open 1 x $184 call exp. 3/22/2014 (47 DTE)"
2/7/2014,2:45:00 PM CST,22,2.43,credit,"sell to close 1 x $179 call exp. 3/22/2014 (43 DTE); buy to close 1 x $184 call exp. 3/22/2014 (43 DTE)"
2/7/2014,2:45:00 PM CST,23,1.06,debit,"buy to open 1 x $183 call exp. 3/22/2014 (43 DTE); sell to open 1 x $187 call exp. 3/22/2014 (43 DTE)"
2/13/2014,2:45:00 PM CST,23,1.73,credit,"sell to close 1 x $183 call exp. 3/22/2014 (37 DTE); buy to close 1 x $187 call exp. 3/22/2014 (37 DTE)"
