Date,Time,Trade No.,Type,Instrument,Price,Quantity,Value,Effect,Fees
1/2/2013,2:45:00 PM CST,1,buy to open,SPY $150 call exp. 2/16/2013,92,1,92,debit,1.127
1/2/2013,2:45:00 PM CST,1,sell to open,SPY $152 call exp. 2/16/2013,45,1,45,credit,1.142
1/22/2013,2:45:00 PM CST,1,sell to close,SPY $150 call exp. 2/16/2013,121,1,121,credit,0.142
1/22/2013,2:45:00 PM CST,1,buy to close,SPY $152 call exp. 2/16/2013,44,1,44,debit,0.127
1/22/2013,2:45:00 PM CST,2,buy to open,SPY $152 call exp. 3/16/2013,121,1,121,debit,1.127
1/22/2013,2:45:00 PM CST,2,sell to open,SPY $155 call exp. 3/16/2013,37,1,37,credit,1.142
2/12/2013,2:45:00 PM CST,2,sell to close,SPY $152 call exp. 3/16/2013,187,1,187,credit,0.142
2/12/2013,2:45:00 PM CST,2,buy to close,SPY $155 call exp. 3/16/2013,56,1,56,debit,0.127
2/12/2013,2:45:00 PM CST,3,buy to open,SPY $155 call exp. 3/28/2013,84,1,84,debit,1.127
2/12/2013,2:45:00 PM CST,3,sell to open,SPY $157 call exp. 3/28/2013,35,1,35,credit,1.142
3/6/2013,2:45:00 PM CST,3,sell to close,SPY $155 call exp. 3/28/2013,105,1,105,credit,0.142
3/6/2013,2:45:00 PM CST,3,buy to close,SPY $157 call exp. 3/28/2013,37,1,37,debit,0.127
3/6/2013,2:45:00 PM CST,4,buy to open,SPY $157 call exp. 4/20/2013,97,1,97,debit,1.127
3/6/2013,2:45:00 PM CST,4,sell to open,SPY $160 call exp. 4/20/2013,27,1,27,credit,1.142
3/28/2013,2:45:00 PM CDT,4,sell to close,SPY $157 call exp. 4/20/2013,147,1,147,credit,0.142
3/28/2013,2:45:00 PM CDT,4,buy to close,SPY $160 call exp. 4/20/2013,30,1,30,debit,0.127
3/28/2013,2:45:00 PM CDT,5,buy to open,SPY $160 call exp. 5/18/2013,110,1,110,debit,1.127
3/28/2013,2:45:00 PM CDT,5,sell to open,SPY $163 call exp. 5/18/2013,33,1,33,credit,1.142
4/29/2013,2:45:00 PM CDT,5,sell to close,SPY $160 call exp. 5/18/2013,130,1,130,credit,0.142
4/29/2013,2:45:00 PM CDT,5,buy to close,SPY $163 call exp. 5/18/2013,29,1,29,debit,0.127
4/29/2013,2:45:00 PM CDT,6,buy to open,SPY $163 call exp. 6/22/2013,116,1,116,debit,1.127
4/29/2013,2:45:00 PM CDT,6,sell to open,SPY $166 call exp. 6/22/2013,42,1,42,credit,1.142
5/7/2013,2:45:00 PM CDT,6,sell to close,SPY $163 call exp. 6/22/2013,228,1,228,credit,0.142
5/7/2013,2:45:00 PM CDT,6,buy to close,SPY $166 call exp. 6/22/2013,98,1,98,debit,0.127
5/7/2013,2:45:00 PM CDT,7,buy to open,SPY $166 call exp. 6/22/2013,98,1,98,debit,1.127
5/7/2013,2:45:00 PM CDT,7,sell to open,SPY $168 call exp. 6/22/2013,48,1,48,credit,1.142
5/14/2013,2:45:00 PM CDT,7,sell to close,SPY $166 call exp. 6/22/2013,205,1,205,credit,0.142
5/14/2013,2:45:00 PM CDT,7,buy to close,SPY $168 call exp. 6/22/2013,120,1,120,debit,0.127
5/14/2013,2:45:00 PM CDT,8,buy to open,SPY $169 call exp. 6/28/2013,100,1,100,debit,1.127
