Date,Total profit/loss,Net liquidity,Drawdown,ROI
1/2/2013,-3.27,4396.73,0,-0.07
1/3/2013,-9.27,4390.73,0.14,-0.21
1/4/2013,-0.27,4399.73,0,-0.01
1/5/2013,-0.27,4399.73,0,-0.01
1/6/2013,-0.27,4399.73,0,-0.01
1/7/2013,0.73,4400.73,0,0.02
1/8/2013,-1.27,4398.73,0.05,-0.03
1/9/2013,5.73,4405.73,0,0.13
1/10/2013,19.73,4419.73,0,0.45
1/11/2013,22.73,4422.73,0,0.52
1/12/2013,22.73,4422.73,0,0.52
1/13/2013,22.73,4422.73,0,0.52
1/14/2013,19.73,4419.73,0.07,0.45
1/15/2013,25.73,4425.73,0,0.58
1/16/2013,27.73,4427.73,0,0.63
1/17/2013,36.19,4436.19,0,0.82
1/18/2013,46.19,4446.19,0,1.05
1/19/2013,46.19,4446.19,0,1.05
1/20/2013,46.19,4446.19,0,1.05
1/21/2013,46.19,4446.19,0,1.05
1/22/2013,64.19,4464.19,0,1.46
1/23/2013,66.19,4466.19,0,1.5
1/24/2013,67.19,4467.19,0,1.53
1/25/2013,72.19,4472.19,0,1.64
1/26/2013,72.19,4472.19,0,1.64
1/27/2013,72.19,4472.19,0,1.64
1/28/2013,68.66,4468.66,0.08,1.56
1/29/2013,82.66,4482.66,0,1.88
1/30/2013,66.66,4466.66,0.36,1.52
1/31/2013,67.66,4467.66,0.33,1.54
2/1/2013,86.66,4486.66,0,1.97
2/2/2013,86.66,4486.66,0,1.97
2/3/2013,86.66,4486.66,0,1.97
2/4/2013,65.66,4465.66,0.47,1.49
2/5/2013,87.66,4487.66,0,1.99
2/6/2013,90.66,4490.66,0,2.06
2/7/2013,90.66,4490.66,0,2.06
2/8/2013,100.66,4500.66,0,2.29
2/9/2013,100.66,4500.66,0,2.29
2/10/2013,100.66,4500.66,0,2.29
2/11/2013,104.66,4504.66,0,2.38
2/12/2013,110.66,4510.66,0,2.51
2/13/2013,111.66,4511.66,0,2.54
2/14/2013,110.12,4510.12,0.03,2.5
2/15/2013,111.12,4511.12,0.01,2.53
2/16/2013,111.12,4511.12,0.01,2.53
2/17/2013,111.12,4511.12,0.01,2.53
2/18/2013,111.12,4511.12,0.01,2.53
2/19/2013,135.12,4535.12,0,3.07
2/20/2013,88.12,4488.12,1.04,2
2/21/2013,72.12,4472.12,1.39,1.64
