Date,Time,Trade No.,Price,Effect,Legs
1/2/2013,2:45:00 PM CST,1,0.75,credit,"sell to open 1 x $142 put exp. 2/16/2013 (45 DTE); buy to open 1 x $137 put exp. 2/16/2013 (45 DTE)"
1/17/2013,2:45:00 PM CST,1,0.33,debit,"buy to close 1 x $142 put exp. 2/16/2013 (30 DTE); sell to close 1 x $137 put exp. 2/16/2013 (30 DTE)"
1/17/2013,2:45:00 PM CST,2,0.65,credit,"sell to open 1 x $145 put exp. 2/22/2013 (36 DTE); buy to open 1 x $141 put exp. 2/22/2013 (36 DTE)"
1/28/2013,2:45:00 PM CST,2,0.29,debit,"buy to close 1 x $145 put exp. 2/22/2013 (25 DTE); sell to close 1 x $141 put exp. 2/22/2013 (25 DTE)"
1/28/2013,2:45:00 PM CST,3,0.77,credit,"sell to open 1 x $146 put exp. 3/16/2013 (47 DTE); buy to open 1 x $141 put exp. 3/16/2013 (47 DTE)"
2/14/2013,2:45:00 PM CST,3,0.33,debit,"buy to close 1 x $146 put exp. 3/16/2013 (30 DTE); sell to close 1 x $141 put exp. 3/16/2013 (30 DTE)"
2/14/2013,2:45:00 PM CST,4,0.91,credit,"sell to open 1 x $149 put exp. 3/28/2013 (42 DTE); buy to open 1 x $143 put exp. 3/28/2013 (42 DTE)"
3/5/2013,2:45:00 PM CST,4,0.42,debit,"buy to close 1 x $149 put exp. 3/28/2013 (23 DTE); sell to close 1 x $143 put exp. 3/28/2013 (23 DTE)"
3/5/2013,2:45:00 PM CST,5,0.75,credit,"sell to open 1 x $150 put exp. 4/20/2013 (46 DTE); buy to open 1 x $145 put exp. 4/20/2013 (46 DTE)"
3/14/2013,2:45:00 PM CDT,5,0.33,debit,"buy to close 1 x $150 put exp. 4/20/2013 (37 DTE); sell to close 1 x $145 put exp. 4/20/2013 (37 DTE)"
3/14/2013,2:45:00 PM CDT,6,0.57,credit,"sell to open 1 x $154 put exp. 4/20/2013 (37 DTE); buy to open 1 x $151 put exp. 4/20/2013 (37 DTE)"
4/1/2013,2:45:00 PM CDT,6,0.5,debit,"buy to close 1 x $154 put exp. 4/20/2013 (19 DTE); sell to close 1 x $151 put exp. 4/20/2013 (19 DTE)"
4/1/2013,2:45:00 PM CDT,7,0.76,credit,"sell to open 1 x $152 put exp. 5/18/2013 (47 DTE); buy to open 1 x $147 put exp. 5/18/2013 (47 DTE)"
4/11/2013,2:45:00 PM CDT,7,0.32,debit,"buy to close 1 x $152 put exp. 5/18/2013 (37 DTE); sell to close 1 x $147 put exp. 5/18/2013 (37 DTE)"
4/11/2013,2:45:00 PM CDT,8,0.61,credit,"sell to open 1 x $156 put exp. 5/18/2013 (37 DTE); buy to open 1 x $152 put exp. 5/18/2013 (37 DTE)"
4/29/2013,2:45:00 PM CDT,8,0.46,debit,"buy to close 1 x $156 put exp. 5/18/2013 (19 DTE); sell to close 1 x $152 put exp. 5/18/2013 (19 DTE)"
4/29/2013,2:45:00 PM CDT,9,1.02,credit,"sell to open 1 x $155 put exp. 6/22/2013 (54 DTE); buy to open 1 x $149 put exp. 6/22/2013 (54 DTE)"
5/8/2013,2:45:00 PM CDT,9,0.44,debit,"buy to close 1 x $155 put exp. 6/22/2013 (45 DTE); sell to close 1 x $149 put exp. 6/22/2013 (45 DTE)"
5/8/2013,2:45:00 PM CDT,10,0.79,credit,"sell to open 1 x $159 put exp. 6/22/2013 (45 DTE); buy to open 1 x $154 put exp. 6/22/2013 (45 DTE)"
5/17/2013,2:45:00 PM CDT,10,0.32,debit,"buy to close 1 x $159 put exp. 6/22/2013 (36 DTE); sell to close 1 x $154 put exp. 6/22/2013 (36 DTE)"
5/17/2013,2:45:00 PM CDT,11,0.87,credit,"sell to open 1 x $163 put exp. 6/28/2013 (42 DTE); buy to open 1 x $158 put exp. 6/28/2013 (42 DTE)"
6/7/2013,2:45:00 PM CDT,11,1.19,debit,"buy to close 1 x $163 put exp. 6/28/2013 (21 DTE); sell to close 1 x $158 put exp. 6/28/2013 (21 DTE)"
6/7/2013,2:45:00 PM CDT,12,1.04,credit,"sell to open 1 x $160 put exp. 7/20/2013 (43 DTE); buy to open 1 x $154 put exp. 7/20/2013 (43 DTE)"
7/1/2013,2:45:00 PM CDT,12,1.23,debit,"buy to close 1 x $160 put exp. 7/20/2013 (19 DTE); sell to close 1 x $154 put exp. 7/20/2013 (19 DTE)"
7/1/2013,2:45:00 PM CDT,13,0.99,credit,"sell to open 1 x $156 put exp. 8/17/2013 (47 DTE); buy to open 1 x $150 put exp. 8/17/2013 (47 DTE)"
7/9/2013,2:45:00 PM CDT,13,0.41,debit,"buy to close 1 x $156 put exp. 8/17/2013 (39 DTE); sell to close 1 x $150 put exp. 8/17/2013 (39 DTE)"
7/9/2013,2:45:00 PM CDT,14,0.82,credit,"sell to open 1 x $161 put exp. 8/17/2013 (39 DTE); buy to open 1 x $156 put exp. 8/17/2013 (39 DTE)"
7/18/2013,2:45:00 PM CDT,14,0.32,debit,"buy to close 1 x $161 put exp. 8/17/2013 (30 DTE); sell to close 1 x $156 put exp. 8/17/2013 (30 DTE)"
7/18/2013,2:45:00 PM CDT,15,0.82,credit,"sell to open 1 x $165 put exp. 8/23/2013 (36 DTE); buy to open 1 x $160 put exp. 8/23/2013 (36 DTE)"
8/1/2013,2:45:00 PM CDT,15,0.34,debit,"buy to close 1 x $165 put exp. 8/23/2013 (22 DTE); sell to close 1 x $160 put exp. 8/23/2013 (22 DTE)"
8/1/2013,2:45:00 PM CDT,16,1.02,credit,"sell to open 1 x $166 put exp. 9/21/2013 (51 DTE); buy to open 1 x $160 put exp. 9/21/2013 (51 DTE)"
9/3/2013,2:45:00 PM CDT,16,2.33,debit,"buy to close 1 x $166 put exp. 9/21/2013 (18 DTE); sell to close 1 x $160 put exp. 9/21/2013 (18 DTE)"
9/3/2013,2:45:00 PM CDT,17,1.04,credit,"sell to open 1 x $159 put exp. 10/19/2013 (46 DTE); buy to open 1 x $153 put exp. 10/19/2013 (46 DTE)"
9/10/2013,2:45:00 PM CDT,17,0.43,debit,"buy to close 1 x $159 put exp. 10/19/2013 (39 DTE); sell to close 1 x $153 put exp. 10/19/2013 (39 DTE)"
9/10/2013,2:45:00 PM CDT,18,0.83,credit,"sell to open 1 x $164 put exp. 10/19/2013 (39 DTE); buy to open 1 x $159 put exp. 10/19/2013 (39 DTE)"
9/18/2013,2:45:00 PM CDT,18,0.32,debit,"buy to close 1 x $164 put exp. 10/19/2013 (31 DTE); sell to close 1 x $159 put exp. 10/19/2013 (31 DTE)"
9/18/2013,2:45:00 PM CDT,19,1.21,credit,"sell to open 1 x $168 put exp. 11/16/2013 (59 DTE); buy to open 1 x $161 put exp. 11/16/2013 (59 DTE)"
10/17/2013,2:45:00 PM CDT,19,0.57,debit,"buy to close 1 x $168 put exp. 11/16/2013 (30 DTE); sell to close 1 x $161 put exp. 11/16/2013 (30 DTE)"
10/17/2013,2:45:00 PM CDT,20,0.67,credit,"sell to open 1 x $169.5 put exp. 11/22/2013 (36 DTE); buy to open 1 x $165 put exp. 11/22/2013 (36 DTE)"
10/28/2013,2:45:00 PM CDT,20,0.24,debit,"buy to close 1 x $169.5 put exp. 11/22/2013 (25 DTE); sell to close 1 x $165 put exp. 11/22/2013 (25 DTE)"
10/28/2013,2:45:00 PM CDT,21,0.95,credit,"sell to open 1 x $171 put exp. 12/21/2013 (54 DTE); buy to open 1 x $165 put exp. 12/21/2013 (54 DTE)"
11/14/2013,2:45:00 PM CST,21,0.4,debit,"buy to close 1 x $171 put exp. 12/21/2013 (37 DTE); sell to close 1 x $165 put exp. 12/21/2013 (37 DTE)"
11/14/2013,2:45:00 PM CST,22,1,credit,"sell to open 1 x $175 put exp. 12/31/2013 (47 DTE); buy to open 1 x $169 put exp. 12/31/2013 (47 DTE)"
12/6/2013,2:45:00 PM CST,22,0.43,debit,"buy to close 1 x $175 put exp. 12/31/2013 (25 DTE); sell to close 1 x $169 put exp. 12/31/2013 (25 DTE)"
12/6/2013,2:45:00 PM CST,23,0.76,credit,"sell to open 1 x $176 put exp. 1/18/2014 (43 DTE); buy to open 1 x $171 put exp. 1/18/2014 (43 DTE)"
12/23/2013,2:45:00 PM CST,23,0.26,debit,"buy to close 1 x $176 put exp. 1/18/2014 (26 DTE); sell to close 1 x $171 put exp. 1/18/2014 (26 DTE)"
12/23/2013,2:45:00 PM CST,24,0.61,credit,"sell to open 1 x $179.5 put exp. 1/24/2014 (32 DTE); buy to open 1 x $175 put exp. 1/24/2014 (32 DTE)"
1/3/2014,2:45:00 PM CST,24,0.49,debit,"buy to close 1 x $179.5 put exp. 1/24/2014 (21 DTE); sell to close 1 x $175 put exp. 1/24/2014 (21 DTE)"
1/3/2014,2:45:00 PM CST,25,0.99,credit,"sell to open 1 x $179 put exp. 2/22/2014 (50 DTE); buy to open 1 x $173 put exp. 2/22/2014 (50 DTE)"
2/3/2014,2:45:00 PM CST,25,3.27,debit,"buy to close 1 x $179 put exp. 2/22/2014 (19 DTE); sell to close 1 x $173 put exp. 2/22/2014 (19 DTE)"
2/3/2014,2:45:00 PM CST,26,1.63,credit,"sell to open 1 x $168 put exp. 3/22/2014 (47 DTE); buy to open 1 x $158 put exp. 3/22/2014 (47 DTE)"
2/7/2014,2:45:00 PM CST,26,0.51,debit,"buy to close 1 x $168 put exp. 3/22/2014 (43 DTE); sell to close 1 x $158 put exp. 3/22/2014 (43 DTE)"
2/7/2014,2:45:00 PM CST,27,0.99,credit,"sell to open 1 x $175 put exp. 3/22/2014 (43 DTE); buy to open 1 x $169 put exp. 3/22/2014 (43 DTE)"
2/14/2014,2:45:00 PM CST,27,0.41,debit,"buy to close 1 x $175 put exp. 3/22/2014 (36 DTE); sell to close 1 x $169 put exp. 3/22/2014 (36 DTE)"
2/14/2014,2:45:00 PM CST,28,0.8,credit,"sell to open 1 x $179 put exp. 3/31/2014 (45 DTE); buy to open 1 x $174 put exp. 3/31/2014 (45 DTE)"
3/4/2014,2:45:00 PM CST,28,0.33,debit,"buy to close 1 x $179 put exp. 3/31/2014 (27 DTE); sell to close 1 x $174 put exp. 3/31/2014 (27 DTE)"
3/4/2014,2:45:00 PM CST,29,1.16,credit,"sell to open 1 x $183 put exp. 4/19/2014 (46 DTE); buy to open 1 x $175 put exp. 4/19/2014 (46 DTE)"
3/31/2014,2:45:00 PM CDT,29,0.65,debit,"buy to close 1 x $183 put exp. 4/19/2014 (19 DTE); sell to close 1 x $175 put exp. 4/19/2014 (19 DTE)"
3/31/2014,2:45:00 PM CDT,30,0.92,credit,"sell to open 1 x $182 put exp. 5/17/2014 (47 DTE); buy to open 1 x $176 put exp. 5/17/2014 (47 DTE)"
4/28/2014,2:45:00 PM CDT,30,0.49,debit,"buy to close 1 x $182 put exp. 5/17/2014 (19 DTE); sell to close 1 x $176 put exp. 5/17/2014 (19 DTE)"
4/28/2014,2:45:00 PM CDT,31,0.88,credit,"sell to open 1 x $183 put exp. 6/6/2014 (39 DTE); buy to open 1 x $177.5 put exp. 6/6/2014 (39 DTE)"
5/12/2014,2:45:00 PM CDT,31,0.31,debit,"buy to close 1 x $183 put exp. 6/6/2014 (25 DTE); sell to close 1 x $177.5 put exp. 6/6/2014 (25 DTE)"
5/12/2014,2:45:00 PM CDT,32,1.02,credit,"sell to open 1 x $185 put exp. 6/27/2014 (46 DTE); buy to open 1 x $178.5 put exp. 6/27/2014 (46 DTE)"
5/29/2014,2:45:00 PM CDT,32,0.4,debit,"buy to close 1 x $185 put exp. 6/27/2014 (29 DTE); sell to close 1 x $178.5 put exp. 6/27/2014 (29 DTE)"
5/29/2014,2:45:00 PM CDT,33,0.81,credit,"sell to open 1 x $188 put exp. 7/11/2014 (43 DTE); buy to open 1 x $183 put exp. 7/11/2014 (43 DTE)"
6/9/2014,2:45:00 PM CDT,33,0.34,debit,"buy to close 1 x $188 put exp. 7/11/2014 (32 DTE); sell to close 1 x $183 put exp. 7/11/2014 (32 DTE)"
6/9/2014,2:45:00 PM CDT,34,0.95,credit,"sell to open 1 x $191 put exp. 7/25/2014 (46 DTE); buy to open 1 x $185 put exp. 7/25/2014 (46 DTE)"
6/30/2014,2:45:00 PM CDT,34,0.39,debit,"buy to close 1 x $191 put exp. 7/25/2014 (25 DTE); sell to close 1 x $185 put exp. 7/25/2014 (25 DTE)"
6/30/2014,2:45:00 PM CDT,35,0.91,credit,"sell to open 1 x $192 put exp. 8/16/2014 (47 DTE); buy to open 1 x $185 put exp. 8/16/2014 (47 DTE)"
7/23/2014,2:45:00 PM CDT,35,0.34,debit,"buy to close 1 x $192 put exp. 8/16/2014 (24 DTE); sell to close 1 x $185 put exp. 8/16/2014 (24 DTE)"
