No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason,Buying power,Fees,ROI
1,1/2/2013,1/17/2013,75,39.46,146.05,147.99,take profit,500,2.54,7.89
2,1/17/2013,1/28/2013,65,33.46,147.99,150.07,take profit,400,2.54,8.37
3,1/28/2013,2/14/2013,77,41.46,150.07,152.25,take profit,500,2.54,8.29
4,2/14/2013,3/5/2013,91,46.46,152.25,154.16,take profit,600,2.54,7.74
5,3/5/2013,3/14/2013,75,39.46,154.16,156.68,take profit,500,2.54,7.89
6,3/14/2013,4/1/2013,57,4.46,156.68,155.95,reached days to expiration limit,300,2.54,1.49
7,4/1/2013,4/11/2013,76,41.46,155.95,159.21,take profit,500,2.54,8.29
8,4/11/2013,4/29/2013,61,12.46,159.21,159.29,reached days to expiration limit,400,2.54,3.12
9,4/29/2013,5/8/2013,102,55.46,159.29,163.35,take profit,600,2.54,9.24
10,5/8/2013,5/17/2013,79,44.46,163.35,166.9,take profit,500,2.54,8.89
11,5/17/2013,6/7/2013,87,-34.54,166.9,164.51,reached days to expiration limit,500,2.54,-6.91
12,6/7/2013,7/1/2013,104,-21.54,164.51,161.12,reached days to expiration limit,600,2.54,-3.59
13,7/1/2013,7/9/2013,99,55.46,161.12,165.04,take profit,600,2.54,9.24
14,7/9/2013,7/18/2013,82,47.46,165.04,168.49,take profit,500,2.54,9.49
15,7/18/2013,8/1/2013,82,45.46,168.49,170.55,take profit,500,2.54,9.09
16,8/1/2013,9/3/2013,102,-133.54,170.55,164.38,reached days to expiration limit,600,2.54,-22.26
17,9/3/2013,9/10/2013,104,58.46,164.38,168.83,take profit,600,2.54,9.74
18,9/10/2013,9/18/2013,83,48.46,168.83,173,take profit,500,2.54,9.69
19,9/18/2013,10/17/2013,121,61.46,173,173.32,take profit,700,2.54,8.78
20,10/17/2013,10/28/2013,67,40.46,173.32,176.35,take profit,450,2.54,8.99
21,10/28/2013,11/14/2013,95,52.46,176.35,179.29,take profit,600,2.54,8.74
22,11/14/2013,12/6/2013,100,54.46,179.29,181.02,take profit,600,2.54,9.08
23,12/6/2013,12/23/2013,76,47.46,181.02,182.51,take profit,500,2.54,9.49
24,12/23/2013,1/3/2014,61,9.46,182.51,182.9,reached days to expiration limit,450,2.54,2.1
25,1/3/2014,2/3/2014,99,-230.54,182.9,173.84,reached days to expiration limit,600,2.54,-38.42
26,2/3/2014,2/7/2014,163,109.46,173.84,179.88,take profit,1000,2.54,10.95
27,2/7/2014,2/14/2014,99,55.46,179.88,184,take profit,600,2.54,9.24
28,2/14/2014,3/4/2014,80,44.46,184,187.65,take profit,500,2.54,8.89
29,3/4/2014,3/31/2014,116,48.46,187.65,186.82,reached days to expiration limit,800,2.54,6.06
30,3/31/2014,4/28/2014,92,40.46,186.82,187.14,reached days to expiration limit,600,2.54,6.74
31,4/28/2014,5/12/2014,88,54.46,187.14,189.85,take profit,550,2.54,9.9
32,5/12/2014,5/29/2014,102,59.46,189.85,192.37,take profit,650,2.54,9.15
33,5/29/2014,6/9/2014,81,44.46,192.37,195.61,take profit,500,2.54,8.89
34,6/9/2014,6/30/2014,95,53.46,195.61,195.92,take profit,600,2.54,8.91
35,6/30/2014,7/23/2014,91,54.46,195.92,198.59,take profit,700,2.54,7.78
36,7/23/2014,8/8/2014,78,-121.54,198.59,192.96,reached days to expiration limit,550,2.54,-22.1
37,8/8/2014,8/14/2014,112,58.46,192.96,195.89,take profit,700,2.54,8.35
38,8/14/2014,8/22/2014,113,58.46,195.89,199.19,take profit,800,2.54,7.31
39,8/22/2014,9/12/2014,72,9.46,199.19,199.1,reached days to expiration limit,500,2.54,1.89
40,9/12/2014,10/3/2014,85,-8.54,199.1,196.52,reached days to expiration limit,600,2.54,-1.42
41,10/3/2014,10/24/2014,76,10.46,196.52,196.36,reached days to expiration limit,450,2.54,2.32
42,10/24/2014,10/31/2014,102,60.46,196.36,201.745,take profit,600,2.54,10.08
43,10/31/2014,11/11/2014,97,49.46,201.745,204.025,take profit,650,2.54,7.61
44,11/11/2014,11/24/2014,91,50.46,204.025,207.26,take profit,600,2.54,8.41
45,11/24/2014,12/12/2014,87,-140.54,207.26,201,reached days to expiration limit,650,2.54,-21.62
46,12/12/2014,12/17/2014,77,108.46,201,201.96,take profit,750,2.54,14.46
47,12/17/2014,12/19/2014,140,76.46,201.96,206.47,take profit,950,2.54,8.05
48,12/19/2014,1/9/2015,110,-14.54,206.47,204.35,reached days to expiration limit,750,2.54,-1.94
49,1/9/2015,1/30/2015,139,-87.54,204.35,199.38,reached days to expiration limit,900,2.54,-9.73
50,2/2/2015,2/12/2015,165,109.46,202.14,208.885,take profit,1100,2.54,9.95
51,2/12/2015,3/2/2015,137,84.46,208.885,212.005,take profit,900,2.54,9.38
52,3/2/2015,3/27/2015,113,-103.54,212.005,205.78,reached days to expiration limit,700,2.54,-14.79
53,3/27/2015,4/9/2015,113,61.46,205.78,208.9,take profit,700,2.54,8.78
54,4/9/2015,4/24/2015,115,62.46,208.9,211.64,take profit,750,2.54,8.33
55,4/24/2015,5/15/2015,96,41.46,211.64,212.43,reached days to expiration limit,650,2.54,6.38
56,5/15/2015,6/9/2015,112,-56.54,212.43,208.54,reached days to expiration limit,700,2.54,-8.08
57,6/9/2015,6/18/2015,124,64.46,208.54,212.66,take profit,700,2.54,9.21
58,6/18/2015,7/10/2015,105,-58.54,212.66,207.68,reached days to expiration limit,650,2.54,-9.01
59,7/10/2015,7/16/2015,127,79.46,207.68,212.265,take profit,800,2.54,9.93
60,7/16/2015,8/7/2015,99,-62.54,212.265,207.85,reached days to expiration limit,700,2.54,-8.93
61,8/7/2015,8/28/2015,108,-152.54,207.85,199.03,reached days to expiration limit,600,2.54,-25.42
62,8/28/2015,9/18/2015,175,16.46,199.03,195.44,reached days to expiration limit,1050,2.54,1.57
63,9/18/2015,10/7/2015,190,115.46,195.44,199.15,take profit,1000,2.54,11.55
64,10/7/2015,10/16/2015,141,76.46,199.15,203.15,take profit,800,2.54,9.56
65,10/16/2015,10/28/2015,121,73.46,203.15,208.83,take profit,800,2.54,9.18
66,10/29/2015,11/20/2015,109,36.46,208.92,209.21,reached days to expiration limit,700,2.54,5.21
67,11/20/2015,12/10/2015,91,-40.54,209.21,205.61,reached days to expiration limit,500,2.54,-8.11
68,12/10/2015,12/29/2015,119,71.46,205.61,207.4,take profit,750,2.54,9.53
69,12/29/2015,1/29/2016,127,-366.54,207.4,193.47,reached days to expiration limit,800,2.54,-45.82
70,1/29/2016,2/19/2016,139,23.46,193.47,191.92,reached days to expiration limit,850,2.54,2.76
71,2/19/2016,3/1/2016,158,94.46,191.92,197.855,take profit,950,2.54,9.94
72,3/1/2016,3/14/2016,152,81.46,197.855,202.595,take profit,900,2.54,9.05
73,3/14/2016,3/29/2016,142,87.46,202.595,205,take profit,1000,2.54,8.75
74,3/29/2016,4/18/2016,112,67.46,205,209.16,take profit,700,2.54,9.64
75,4/18/2016,5/6/2016,107,-60.54,209.16,205.54,reached days to expiration limit,700,2.54,-8.65
76,5/6/2016,5/24/2016,125,67.46,205.54,207.945,take profit,700,2.54,9.64
77,5/24/2016,6/8/2016,121,64.46,207.945,212.31,take profit,800,2.54,8.06
78,6/8/2016,7/1/2016,104,20.46,212.31,210.13,reached days to expiration limit,750,2.54,2.73
79,7/1/2016,7/11/2016,119,61.46,210.13,213.57,take profit,850,2.54,7.23
80,7/11/2016,7/22/2016,101,51.46,213.57,217.16,take profit,700,2.54,7.35
81,7/22/2016,8/11/2016,90,49.46,217.16,218.77,take profit,650,2.54,7.61
82,8/11/2016,9/2/2016,75,19.46,218.77,218.28,reached days to expiration limit,550,2.54,3.54
83,9/2/2016,9/23/2016,99,16.46,218.28,216.065,reached days to expiration limit,750,2.54,2.19
84,9/23/2016,10/14/2016,100,-20.54,216.065,213.49,reached days to expiration limit,700,2.54,-2.93
85,10/14/2016,11/4/2016,125,-85.54,213.49,208.51,reached days to expiration limit,800,2.54,-10.69
86,11/4/2016,11/8/2016,171,91.46,208.51,214.46,take profit,1000,2.54,9.15
87,11/8/2016,11/17/2016,149,87.46,214.46,218.93,take profit,1000,2.54,8.75
88,11/17/2016,12/5/2016,107,55.46,218.93,220.865,take profit,700,2.54,7.92
89,12/5/2016,12/9/2016,93,47.46,220.865,226.34,take profit,600,2.54,7.91
90,12/9/2016,12/30/2016,94,-15.54,226.34,223.03,reached days to expiration limit,600,2.54,-2.59
91,12/30/2016,1/4/2017,107,54.46,223.03,226.64,take profit,750,2.54,7.26
92,1/4/2017,1/25/2017,90,61.46,226.64,229.47,take profit,600,2.54,10.24
93,1/26/2017,2/13/2017,81,52.46,229.24,232.83,take profit,550,2.54,9.54
94,2/13/2017,2/27/2017,101,52.46,232.83,237.11,take profit,700,2.54,7.49
95,2/27/2017,3/15/2017,93,53.46,237.11,239.165,take profit,650,2.54,8.22
96,3/15/2017,4/7/2017,103,-24.54,239.165,235.255,reached days to expiration limit,750,2.54,-3.27
97,4/7/2017,4/24/2017,111,63.46,235.255,237.245,take profit,800,2.54,7.93
