Date,Time,Trade No.,Type,Instrument,Price,Quantity,Value,Effect,Fees
1/2/2013,2:45:00 PM CST,1,sell to open,SPY $142 put exp. 2/16/2013,143,1,143,credit,1.142
1/2/2013,2:45:00 PM CST,1,buy to open,SPY $137 put exp. 2/16/2013,68,1,68,debit,1.127
1/17/2013,2:45:00 PM CST,1,buy to close,SPY $142 put exp. 2/16/2013,55,1,55,debit,0.127
1/17/2013,2:45:00 PM CST,1,sell to close,SPY $137 put exp. 2/16/2013,22,1,22,credit,0.142
1/17/2013,2:45:00 PM CST,2,sell to open,SPY $145 put exp. 2/22/2013,127,1,127,credit,1.142
1/17/2013,2:45:00 PM CST,2,buy to open,SPY $141 put exp. 2/22/2013,62,1,62,debit,1.127
1/28/2013,2:45:00 PM CST,2,buy to close,SPY $145 put exp. 2/22/2013,52,1,52,debit,0.127
1/28/2013,2:45:00 PM CST,2,sell to close,SPY $141 put exp. 2/22/2013,23,1,23,credit,0.142
1/28/2013,2:45:00 PM CST,3,sell to open,SPY $146 put exp. 3/16/2013,148,1,148,credit,1.142
1/28/2013,2:45:00 PM CST,3,buy to open,SPY $141 put exp. 3/16/2013,71,1,71,debit,1.127
2/14/2013,2:45:00 PM CST,3,buy to close,SPY $146 put exp. 3/16/2013,57,1,57,debit,0.127
2/14/2013,2:45:00 PM CST,3,sell to close,SPY $141 put exp. 3/16/2013,24,1,24,credit,0.142
2/14/2013,2:45:00 PM CST,4,sell to open,SPY $149 put exp. 3/28/2013,148,1,148,credit,1.142
2/14/2013,2:45:00 PM CST,4,buy to open,SPY $143 put exp. 3/28/2013,57,1,57,debit,1.127
3/5/2013,2:45:00 PM CST,4,buy to close,SPY $149 put exp. 3/28/2013,61,1,61,debit,0.127
3/5/2013,2:45:00 PM CST,4,sell to close,SPY $143 put exp. 3/28/2013,19,1,19,credit,0.142
3/5/2013,2:45:00 PM CST,5,sell to open,SPY $150 put exp. 4/20/2013,145,1,145,credit,1.142
3/5/2013,2:45:00 PM CST,5,buy to open,SPY $145 put exp. 4/20/2013,70,1,70,debit,1.127
