Date,Total profit/loss,Net liquidity,Drawdown,ROI
1/2/2013,-1.14,14978.86,0,-0.01
1/3/2013,0.86,14980.86,0,0.01
1/4/2013,14.59,14994.59,0,0.1
1/5/2013,14.59,14994.59,0,0.1
1/6/2013,14.59,14994.59,0,0.1
1/7/2013,21.59,15001.59,0,0.14
1/8/2013,23.59,15003.59,0,0.16
1/9/2013,33.32,15013.32,0,0.22
1/10/2013,52.32,15032.32,0,0.35
1/11/2013,54.05,15034.05,0,0.36
1/12/2013,54.05,15034.05,0,0.36
1/13/2013,54.05,15034.05,0,0.36
1/14/2013,56.05,15036.05,0,0.37
1/15/2013,64.05,15044.05,0,0.43
1/16/2013,67.05,15047.05,0,0.45
1/17/2013,72.78,15052.78,0,0.49
1/18/2013,90.78,15070.78,0,0.61
1/19/2013,90.78,15070.78,0,0.61
1/20/2013,90.78,15070.78,0,0.61
1/21/2013,90.78,15070.78,0,0.61
1/22/2013,99.51,15079.51,0,0.66
1/23/2013,105.51,15085.51,0,0.7
1/24/2013,109.51,15089.51,0,0.73
1/25/2013,115.51,15095.51,0,0.77
1/26/2013,115.51,15095.51,0,0.77
1/27/2013,115.51,15095.51,0,0.77
1/28/2013,119.24,15099.24,0,0.8
1/29/2013,127.24,15107.24,0,0.85
1/30/2013,123.24,15103.24,0.03,0.82
1/31/2013,129.24,15109.24,0,0.86
2/1/2013,137.98,15117.98,0,0.92
2/2/2013,137.98,15117.98,0,0.92
2/3/2013,137.98,15117.98,0,0.92
2/4/2013,104.98,15084.98,0.22,0.7
2/5/2013,142.98,15122.98,0,0.95
2/6/2013,149.71,15129.71,0,1
2/7/2013,151.71,15131.71,0,1.01
2/8/2013,171.71,15151.71,0,1.15
2/9/2013,171.71,15151.71,0,1.15
2/10/2013,171.71,15151.71,0,1.15
2/11/2013,173.44,15153.44,0,1.16
2/12/2013,183.44,15163.44,0,1.22
2/13/2013,188.17,15168.17,0,1.26
2/14/2013,197.17,15177.17,0,1.32
2/15/2013,202.17,15182.17,0,1.35
2/16/2013,202.17,15182.17,0,1.35
2/17/2013,202.17,15182.17,0,1.35
2/18/2013,202.17,15182.17,0,1.35
2/19/2013,213.9,15193.9,0,1.43
2/20/2013,133.9,15113.9,0.53,0.89
2/21/2013,105.9,15085.9,0.71,0.71
2/22/2013,174.9,15154.9,0.26,1.17
2/23/2013,174.9,15154.9,0.26,1.17
2/24/2013,174.9,15154.9,0.26,1.17
2/25/2013,8.63,14988.63,1.35,0.06
2/26/2013,38.36,15018.36,1.16,0.26
2/27/2013,75.09,15055.09,0.91,0.5
2/28/2013,69.09,15049.09,0.95,0.46
3/1/2013,90.09,15070.09,0.81,0.6
3/2/2013,90.09,15070.09,0.81,0.6
3/3/2013,90.09,15070.09,0.81,0.6
3/4/2013,108.82,15088.82,0.69,0.73
3/5/2013,126.55,15106.55,0.57,0.84
3/6/2013,135.55,15115.55,0.52,0.9
3/7/2013,148.55,15128.55,0.43,0.99
3/8/2013,157.29,15137.29,0.37,1.05
3/9/2013,157.29,15137.29,0.37,1.05
3/10/2013,157.29,15137.29,0.37,1.05
3/11/2013,173.29,15153.29,0.27,1.16
3/12/2013,171.29,15151.29,0.28,1.14
3/13/2013,180.02,15160.02,0.22,1.2
3/14/2013,195.02,15175.02,0.12,1.3
3/15/2013,197.75,15177.75,0.11,1.32
3/16/2013,197.75,15177.75,0.11,1.32
3/17/2013,197.75,15177.75,0.11,1.32
3/18/2013,179.75,15159.75,0.22,1.2
3/19/2013,166.75,15146.75,0.31,1.11
3/20/2013,193.75,15173.75,0.13,1.29
3/21/2013,180.75,15160.75,0.22,1.21
3/22/2013,219.48,15199.48,0,1.47
3/23/2013,219.48,15199.48,0,1.47
3/24/2013,219.48,15199.48,0,1.47
3/25/2013,233.48,15213.48,0,1.56
3/26/2013,254.21,15234.21,0,1.7
3/27/2013,255.21,15235.21,0,1.7
3/28/2013,271.21,15251.21,0,1.81
3/29/2013,271.21,15251.21,0,1.81
3/30/2013,271.21,15251.21,0,1.81
3/31/2013,271.21,15251.21,0,1.81
4/1/2013,270.94,15250.94,0,1.81
4/2/2013,284.67,15264.67,0,1.9
4/3/2013,237.67,15217.67,0.31,1.59
4/4/2013,264.67,15244.67,0.13,1.77
4/5/2013,252.67,15232.67,0.21,1.69
4/6/2013,252.67,15232.67,0.21,1.69
4/7/2013,252.67,15232.67,0.21,1.69
4/8/2013,299.67,15279.67,0,2
4/9/2013,308.4,15288.4,0,2.06
4/10/2013,335.13,15315.13,0,2.24
4/11/2013,346.13,15326.13,0,2.31
4/12/2013,343.13,15323.13,0.02,2.29
4/13/2013,343.13,15323.13,0.02,2.29
4/14/2013,343.13,15323.13,0.02,2.29
4/15/2013,171.86,15151.86,1.14,1.15
4/16/2013,214.6,15194.6,0.86,1.43
4/17/2013,140.6,15120.6,1.34,0.94
4/18/2013,104.6,15084.6,1.58,0.7
4/19/2013,185.6,15165.6,1.05,1.24
4/20/2013,185.6,15165.6,1.05,1.24
4/21/2013,185.6,15165.6,1.05,1.24
4/22/2013,226.6,15206.6,0.78,1.51
4/23/2013,250.33,15230.33,0.63,1.67
4/24/2013,253.33,15233.33,0.61,1.69
4/25/2013,264.33,15244.33,0.53,1.76
4/26/2013,264.33,15244.33,0.53,1.76
4/27/2013,264.33,15244.33,0.53,1.76
4/28/2013,264.33,15244.33,0.53,1.76
4/29/2013,272.06,15252.06,0.48,1.82
4/30/2013,285.06,15265.06,0.4,1.9
5/1/2013,258.06,15238.06,0.57,1.72
5/2/2013,293.79,15273.79,0.34,1.96
5/3/2013,320.52,15300.52,0.17,2.14
5/4/2013,320.52,15300.52,0.17,2.14
5/5/2013,320.52,15300.52,0.17,2.14
5/6/2013,334.52,15314.52,0.08,2.23
5/7/2013,339.25,15319.25,0.04,2.26
5/8/2013,355.25,15335.25,0,2.37
5/9/2013,350.25,15330.25,0.03,2.34
5/10/2013,359.98,15339.98,0,2.4
5/11/2013,359.98,15339.98,0,2.4
5/12/2013,359.98,15339.98,0,2.4
5/13/2013,364.98,15344.98,0,2.44
5/14/2013,381.71,15361.71,0,2.55
5/15/2013,392.71,15372.71,0,2.62
5/16/2013,391.71,15371.71,0.01,2.61
5/17/2013,407.44,15387.44,0,2.72
5/18/2013,407.44,15387.44,0,2.72
5/19/2013,407.44,15387.44,0,2.72
5/20/2013,416.44,15396.44,0,2.78
5/21/2013,422.44,15402.44,0,2.82
5/22/2013,414.44,15394.44,0.05,2.77
5/23/2013,421.44,15401.44,0.01,2.81
5/24/2013,441.17,15421.17,0,2.95
5/25/2013,441.17,15421.17,0,2.95
5/26/2013,441.17,15421.17,0,2.95
5/27/2013,441.17,15421.17,0,2.95
5/28/2013,451.17,15431.17,0,3.01
5/29/2013,454.17,15434.17,0,3.03
5/30/2013,467.91,15447.91,0,3.12
5/31/2013,405.91,15385.91,0.4,2.71
6/1/2013,405.91,15385.91,0.4,2.71
6/2/2013,405.91,15385.91,0.4,2.71
6/3/2013,446.91,15426.91,0.14,2.98
6/4/2013,444.91,15424.91,0.15,2.97
6/5/2013,345.91,15325.91,0.79,2.31
6/6/2013,445.91,15425.91,0.14,2.98
6/7/2013,506.64,15486.64,0,3.38
6/8/2013,506.64,15486.64,0,3.38
6/9/2013,506.64,15486.64,0,3.38
6/10/2013,521.64,15501.64,0,3.48
6/11/2013,496.64,15476.64,0.16,3.32
6/12/2013,451.64,15431.64,0.45,3.01
6/13/2013,534.37,15514.37,0,3.57
6/14/2013,502.37,15482.37,0.21,3.35
6/15/2013,502.37,15482.37,0.21,3.35
6/16/2013,502.37,15482.37,0.21,3.35
6/17/2013,557.37,15537.37,0,3.72
6/18/2013,574.1,15554.1,0,3.83
6/19/2013,516.1,15496.1,0.37,3.45
6/20/2013,280.83,15260.83,1.89,1.87
6/21/2013,310.83,15290.83,1.69,2.07
6/22/2013,310.83,15290.83,1.69,2.07
6/23/2013,310.83,15290.83,1.69,2.07
6/24/2013,286.83,15266.83,1.85,1.91
6/25/2013,347.56,15327.56,1.46,2.32
6/26/2013,378.29,15358.29,1.26,2.53
6/27/2013,404.29,15384.29,1.09,2.7
6/28/2013,402.29,15382.29,1.1,2.69
6/29/2013,402.29,15382.29,1.1,2.69
6/30/2013,402.29,15382.29,1.1,2.69
7/1/2013,419.02,15399.02,1,2.8
7/2/2013,431.02,15411.02,0.92,2.88
7/3/2013,436.75,15416.75,0.88,2.92
7/4/2013,436.75,15416.75,0.88,2.92
7/5/2013,478.48,15458.48,0.61,3.19
7/6/2013,478.48,15458.48,0.61,3.19
7/7/2013,478.48,15458.48,0.61,3.19
7/8/2013,496.48,15476.48,0.5,3.31
7/9/2013,504.22,15484.22,0.45,3.37
7/10/2013,513.22,15493.22,0.39,3.43
7/11/2013,537.95,15517.95,0.23,3.59
7/12/2013,549.95,15529.95,0.16,3.67
7/13/2013,549.95,15529.95,0.16,3.67
7/14/2013,549.95,15529.95,0.16,3.67
7/15/2013,559.68,15539.68,0.09,3.74
7/16/2013,553.68,15533.68,0.13,3.7
7/17/2013,576.41,15556.41,0,3.85
7/18/2013,589.41,15569.41,0,3.93
7/19/2013,600.14,15580.14,0,4.01
7/20/2013,600.14,15580.14,0,4.01
7/21/2013,600.14,15580.14,0,4.01
7/22/2013,613.14,15593.14,0,4.09
7/23/2013,615.14,15595.14,0,4.11
7/24/2013,614.14,15594.14,0.01,4.1
7/25/2013,620.87,15600.87,0,4.14
7/26/2013,634.87,15614.87,0,4.24
7/27/2013,634.87,15614.87,0,4.24
7/28/2013,634.87,15614.87,0,4.24
7/29/2013,634.87,15614.87,0,4.24
7/30/2013,640.87,15620.87,0,4.28
7/31/2013,645.6,15625.6,0,4.31
8/1/2013,672.33,15652.33,0,4.49
8/2/2013,692.06,15672.06,0,4.62
8/3/2013,692.06,15672.06,0,4.62
8/4/2013,692.06,15672.06,0,4.62
8/5/2013,701.06,15681.06,0,4.68
8/6/2013,685.06,15665.06,0.1,4.57
8/7/2013,676.06,15656.06,0.16,4.51
8/8/2013,707.06,15687.06,0,4.72
8/9/2013,718.79,15698.79,0,4.8
8/10/2013,718.79,15698.79,0,4.8
8/11/2013,718.79,15698.79,0,4.8
8/12/2013,735.79,15715.79,0,4.91
8/13/2013,745.53,15725.53,0,4.98
8/14/2013,726.53,15706.53,0.12,4.85
8/15/2013,612.53,15592.53,0.85,4.09
8/16/2013,605.53,15585.53,0.89,4.04
8/17/2013,605.53,15585.53,0.89,4.04
8/18/2013,605.53,15585.53,0.89,4.04
8/19/2013,569.26,15549.26,1.12,3.8
8/20/2013,587.99,15567.99,1,3.93
8/21/2013,562.99,15542.99,1.16,3.76
8/22/2013,612.99,15592.99,0.84,4.09
8/23/2013,623.72,15603.72,0.77,4.16
8/24/2013,623.72,15603.72,0.77,4.16
8/25/2013,623.72,15603.72,0.77,4.16
8/26/2013,613.72,15593.72,0.84,4.1
8/27/2013,496.45,15476.45,1.58,3.31
8/28/2013,507.45,15487.45,1.51,3.39
8/29/2013,517.45,15497.45,1.45,3.45
8/30/2013,517.45,15497.45,1.45,3.45
8/31/2013,517.45,15497.45,1.45,3.45
9/1/2013,517.45,15497.45,1.45,3.45
9/2/2013,517.45,15497.45,1.45,3.45
9/3/2013,532.18,15512.18,1.36,3.55
9/4/2013,558.91,15538.91,1.19,3.73
9/5/2013,564.91,15544.91,1.15,3.77
9/6/2013,574.91,15554.91,1.08,3.84
9/7/2013,574.91,15554.91,1.08,3.84
9/8/2013,574.91,15554.91,1.08,3.84
9/9/2013,594.64,15574.64,0.96,3.97
9/10/2013,617.37,15597.37,0.81,4.12
9/11/2013,639.37,15619.37,0.68,4.27
9/12/2013,636.37,15616.37,0.69,4.25
9/13/2013,645.1,15625.1,0.64,4.31
9/14/2013,645.1,15625.1,0.64,4.31
9/15/2013,645.1,15625.1,0.64,4.31
9/16/2013,664.1,15644.1,0.52,4.43
9/17/2013,667.84,15647.84,0.49,4.46
9/18/2013,696.57,15676.57,0.31,4.65
9/19/2013,711.57,15691.57,0.22,4.75
9/20/2013,694.57,15674.57,0.32,4.64
9/21/2013,694.57,15674.57,0.32,4.64
9/22/2013,694.57,15674.57,0.32,4.64
9/23/2013,682.57,15662.57,0.4,4.56
9/24/2013,692.57,15672.57,0.34,4.62
9/25/2013,682.57,15662.57,0.4,4.56
9/26/2013,721.3,15701.3,0.15,4.82
9/27/2013,704.3,15684.3,0.26,4.7
9/28/2013,704.3,15684.3,0.26,4.7
9/29/2013,704.3,15684.3,0.26,4.7
9/30/2013,699.3,15679.3,0.29,4.67
10/1/2013,744.03,15724.03,0.01,4.97
10/2/2013,733.03,15713.03,0.08,4.89
10/3/2013,693.03,15673.03,0.33,4.63
10/4/2013,749.03,15729.03,0,5
10/5/2013,749.03,15729.03,0,5
10/6/2013,749.03,15729.03,0,5
10/7/2013,718.03,15698.03,0.2,4.79
10/8/2013,655.03,15635.03,0.6,4.37
10/9/2013,678.03,15658.03,0.45,4.53
10/10/2013,788.76,15768.76,0,5.27
10/11/2013,811.76,15791.76,0,5.42
10/12/2013,811.76,15791.76,0,5.42
10/13/2013,811.76,15791.76,0,5.42
10/14/2013,816.49,15796.49,0,5.45
10/15/2013,773.49,15753.49,0.27,5.16
10/16/2013,844.22,15824.22,0,5.64
10/17/2013,876.95,15856.95,0,5.85
10/18/2013,894.95,15874.95,0,5.97
10/19/2013,894.95,15874.95,0,5.97
10/20/2013,894.95,15874.95,0,5.97
10/21/2013,900.68,15880.68,0,6.01
10/22/2013,915.41,15895.41,0,6.11
10/23/2013,909.41,15889.41,0.04,6.07
10/24/2013,924.41,15904.41,0,6.17
10/25/2013,937.15,15917.15,0,6.26
10/26/2013,937.15,15917.15,0,6.26
10/27/2013,937.15,15917.15,0,6.26
10/28/2013,950.15,15930.15,0,6.34
10/29/2013,954.88,15934.88,0,6.37
10/30/2013,947.88,15927.88,0.04,6.33
10/31/2013,947.88,15927.88,0.04,6.33
11/1/2013,955.88,15935.88,0,6.38
11/2/2013,955.88,15935.88,0,6.38
11/3/2013,955.88,15935.88,0,6.38
11/4/2013,979.61,15959.61,0,6.54
11/5/2013,970.61,15950.61,0.06,6.48
11/6/2013,994.34,15974.34,0,6.64
11/7/2013,940.34,15920.34,0.34,6.28
11/8/2013,1003.34,15983.34,0,6.7
11/9/2013,1003.34,15983.34,0,6.7
11/10/2013,1003.34,15983.34,0,6.7
11/11/2013,1011.34,15991.34,0,6.75
11/12/2013,1013.07,15993.07,0,6.76
11/13/2013,1035.07,16015.07,0,6.91
11/14/2013,1045.8,16025.8,0,6.98
11/15/2013,1061.8,16041.8,0,7.09
11/16/2013,1061.8,16041.8,0,7.09
11/17/2013,1061.8,16041.8,0,7.09
11/18/2013,1062.53,16042.53,0,7.09
11/19/2013,1061.53,16041.53,0.01,7.09
11/20/2013,1061.53,16041.53,0.01,7.09
11/21/2013,1083.26,16063.26,0,7.23
11/22/2013,1099.26,16079.26,0,7.34
11/23/2013,1099.26,16079.26,0,7.34
11/24/2013,1099.26,16079.26,0,7.34
11/25/2013,1105.99,16085.99,0,7.38
11/26/2013,1113.99,16093.99,0,7.44
11/27/2013,1119.72,16099.72,0,7.47
11/28/2013,1119.72,16099.72,0,7.47
11/29/2013,1117.72,16097.72,0.01,7.46
11/30/2013,1117.72,16097.72,0.01,7.46
12/1/2013,1117.72,16097.72,0.01,7.46
12/2/2013,1124.72,16104.72,0,7.51
12/3/2013,1111.72,16091.72,0.08,7.42
12/4/2013,1120.72,16100.72,0.02,7.48
12/5/2013,1102.72,16082.72,0.14,7.36
12/6/2013,1157.46,16137.46,0,7.73
12/7/2013,1157.46,16137.46,0,7.73
12/8/2013,1157.46,16137.46,0,7.73
12/9/2013,1175.46,16155.46,0,7.85
12/10/2013,1174.46,16154.46,0.01,7.84
12/11/2013,1120.46,16100.46,0.34,7.48
12/12/2013,1119.46,16099.46,0.35,7.47
12/13/2013,1146.46,16126.46,0.18,7.65
12/14/2013,1146.46,16126.46,0.18,7.65
12/15/2013,1146.46,16126.46,0.18,7.65
12/16/2013,1144.31,16124.31,0.19,7.64
12/17/2013,1142.31,16122.31,0.21,7.63
12/18/2013,1184.04,16164.04,0,7.9
12/19/2013,1193.04,16173.04,0,7.96
12/20/2013,1210.78,16190.78,0,8.08
12/21/2013,1210.78,16190.78,0,8.08
12/22/2013,1210.78,16190.78,0,8.08
12/23/2013,1229.51,16209.51,0,8.21
12/24/2013,1241.51,16221.51,0,8.29
12/25/2013,1241.51,16221.51,0,8.29
12/26/2013,1249.24,16229.24,0,8.34
12/27/2013,1257.24,16237.24,0,8.39
