No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason,Buying power,Fees,ROI
1,1/2/2013,1/4/2013,30,15.73,146.05,146.2,take profit,2860,1.27,0.55
2,1/4/2013,1/9/2013,30,18.73,146.2,145.95,take profit,2890,1.27,0.65
3,1/9/2013,1/11/2013,36,20.73,145.95,147.07,take profit,2880,1.27,0.72
4,1/11/2013,1/17/2013,24,18.73,147.07,147.99,take profit,2900,1.27,0.65
5,1/17/2013,1/22/2013,35,26.73,147.99,149.33,take profit,2920,1.27,0.92
6,1/22/2013,1/28/2013,32,19.73,149.33,150.07,take profit,2940,1.27,0.67
7,1/28/2013,2/1/2013,21,18.73,150.07,151.06,take profit,2960,1.27,0.63
8,2/1/2013,2/6/2013,22,12.73,151.06,151.08,take profit,2980,1.27,0.43
9,2/6/2013,2/11/2013,41,23.73,151.08,151.72,take profit,2980,1.27,0.8
10,2/11/2013,2/13/2013,24,14.73,151.72,152.14,take profit,3000,1.27,0.49
11,2/13/2013,2/19/2013,33,25.73,152.14,153.19,take profit,3000,1.27,0.86
12,2/19/2013,2/25/2013,39,-206.27,153.19,149.2,stop loss,3020,1.27,-6.83
13,2/25/2013,2/26/2013,49,30.73,149.2,149.69,take profit,2920,1.27,1.05
14,2/26/2013,2/27/2013,58,35.73,149.69,151.545,take profit,2920,1.27,1.22
15,2/27/2013,3/4/2013,47,34.73,151.545,153,take profit,2980,1.27,1.17
16,3/4/2013,3/5/2013,30,17.73,153,154.16,take profit,3030,1.27,0.59
17,3/5/2013,3/8/2013,44,30.73,154.16,155.43,take profit,3020,1.27,1.02
18,3/8/2013,3/13/2013,30,21.73,155.43,156.02,take profit,3060,1.27,0.71
19,3/13/2013,3/15/2013,34,17.73,156.02,155.882,take profit,3060,1.27,0.58
20,3/15/2013,3/22/2013,25,22.73,155.882,155.66,take profit,3080,1.27,0.74
21,3/22/2013,3/26/2013,41,33.73,155.66,156.12,take profit,3060,1.27,1.1
22,3/26/2013,4/1/2013,33,17.73,156.12,155.95,take profit,3060,1.27,0.58
23,4/1/2013,4/2/2013,24,13.73,155.95,156.9,take profit,3080,1.27,0.45
24,4/2/2013,4/9/2013,35,23.73,156.9,156.77,take profit,3080,1.27,0.77
25,4/9/2013,4/10/2013,42,26.73,156.77,158.7,take profit,3080,1.27,0.87
26,4/10/2013,4/15/2013,31,-163.27,158.7,154.92,stop loss,3120,1.27,-5.23
27,4/15/2013,4/16/2013,50,41.73,154.92,157.41,take profit,3020,1.27,1.38
28,4/16/2013,4/23/2013,46,36.73,157.41,157.71,take profit,3080,1.27,1.19
29,4/23/2013,4/29/2013,32,21.73,157.71,159.29,take profit,3080,1.27,0.71
30,4/29/2013,5/2/2013,27,20.73,159.29,159.76,take profit,3140,1.27,0.66
31,5/2/2013,5/3/2013,39,26.73,159.76,161.37,take profit,3140,1.27,0.85
32,5/3/2013,5/7/2013,28,19.73,161.37,162.58,take profit,3180,1.27,0.62
33,5/7/2013,5/10/2013,40,20.73,162.58,163.45,take profit,3200,1.27,0.65
34,5/10/2013,5/14/2013,32,20.73,163.45,165.29,take profit,3230,1.27,0.64
35,5/14/2013,5/17/2013,41,26.73,165.29,166.9,take profit,3240,1.27,0.83
36,5/17/2013,5/24/2013,36,33.73,166.9,165.6,take profit,3290,1.27,1.03
37,5/24/2013,5/30/2013,32,25.73,165.6,165.87,take profit,3260,1.27,0.79
38,5/30/2013,6/7/2013,42,39.73,165.87,164.51,take profit,3250,1.27,1.22
39,6/7/2013,6/13/2013,35,27.73,164.51,164.24,take profit,3230,1.27,0.86
40,6/13/2013,6/18/2013,67,38.73,164.24,165.72,take profit,3220,1.27,1.2
41,6/18/2013,6/20/2013,88,-293.27,165.72,159.68,stop loss,3240,1.27,-9.05
42,6/20/2013,6/25/2013,95,66.73,159.68,158.58,take profit,3100,1.27,2.15
43,6/25/2013,6/26/2013,61,31.73,158.58,159.98,take profit,3080,1.27,1.03
44,6/26/2013,7/1/2013,51,40.73,159.98,161.12,take profit,3120,1.27,1.31
45,7/1/2013,7/3/2013,32,17.73,161.12,161.47,take profit,3170,1.27,0.56
46,7/3/2013,7/5/2013,54,40.73,161.47,163.23,take profit,3160,1.27,1.29
47,7/5/2013,7/9/2013,34,26.73,163.23,165.04,take profit,3210,1.27,0.83
48,7/9/2013,7/11/2013,50,33.73,165.04,167.44,take profit,3240,1.27,1.04
49,7/11/2013,7/15/2013,37,21.73,167.44,168.2,take profit,3290,1.27,0.66
50,7/15/2013,7/17/2013,29,15.73,168.2,167.98,take profit,3320,1.27,0.47
51,7/17/2013,7/19/2013,37,24.73,167.98,169.4,take profit,3300,1.27,0.75
52,7/19/2013,7/25/2013,27,19.73,169.4,168.8,take profit,3340,1.27,0.59
53,7/25/2013,7/31/2013,39,24.73,168.8,168.95,take profit,3320,1.27,0.74
54,7/31/2013,8/1/2013,46,26.73,168.95,170.55,take profit,3320,1.27,0.81
55,8/1/2013,8/2/2013,39,20.73,170.55,170.9,take profit,3360,1.27,0.62
56,8/2/2013,8/9/2013,29,25.73,170.9,169.06,take profit,3380,1.27,0.76
57,8/9/2013,8/13/2013,39,27.73,169.06,169.57,take profit,3330,1.27,0.83
58,8/13/2013,8/19/2013,51,-176.27,169.57,164.95,stop loss,3340,1.27,-5.28
59,8/19/2013,8/20/2013,34,18.73,164.95,165.6,take profit,3250,1.27,0.58
60,8/20/2013,8/23/2013,48,35.73,165.6,166.65,take profit,3240,1.27,1.1
61,8/23/2013,8/27/2013,31,-127.27,166.65,163.35,stop loss,3290,1.27,-3.87
62,8/27/2013,9/3/2013,44,35.73,163.35,164.38,take profit,3180,1.27,1.12
63,9/3/2013,9/4/2013,51,26.73,164.38,165.95,take profit,3210,1.27,0.83
64,9/4/2013,9/9/2013,45,34.73,165.95,167.53,take profit,3250,1.27,1.07
65,9/9/2013,9/10/2013,35,23.73,167.53,168.83,take profit,3310,1.27,0.72
66,9/10/2013,9/13/2013,54,27.73,168.83,169.43,take profit,3300,1.27,0.84
67,9/13/2013,9/17/2013,38,21.73,169.43,171.07,take profit,3320,1.27,0.65
68,9/17/2013,9/18/2013,47,29.73,171.07,173,take profit,3330,1.27,0.89
69,9/18/2013,9/26/2013,40,23.73,173,169.7,take profit,3380,1.27,0.7
70,9/26/2013,10/1/2013,39,23.73,169.7,169.42,take profit,3330,1.27,0.71
71,10/1/2013,10/10/2013,52,44.73,169.42,169,take profit,3320,1.27,1.35
72,10/10/2013,10/14/2013,52,26.73,169,170.95,take profit,3300,1.27,0.81
73,10/14/2013,10/16/2013,42,28.73,170.95,171.81,take profit,3350,1.27,0.86
74,10/16/2013,10/17/2013,50,32.73,171.81,173.32,take profit,3360,1.27,0.97
75,10/17/2013,10/21/2013,35,22.73,173.32,174.33,take profit,3410,1.27,0.67
76,10/21/2013,10/22/2013,28,14.73,174.33,175.45,take profit,3450,1.27,0.43
77,10/22/2013,10/25/2013,41,21.73,175.45,175.86,take profit,3450,1.27,0.63
78,10/25/2013,10/29/2013,29,17.73,175.86,177.21,take profit,3470,1.27,0.51
79,10/29/2013,11/4/2013,42,24.73,177.21,176.79,take profit,3480,1.27,0.71
80,11/4/2013,11/6/2013,29,14.73,176.79,177.08,take profit,3500,1.27,0.42
81,11/6/2013,11/12/2013,34,18.73,177.08,177.03,take profit,3480,1.27,0.54
82,11/12/2013,11/14/2013,49,32.73,177.03,179.29,take profit,3480,1.27,0.94
83,11/14/2013,11/18/2013,33,16.73,179.29,179.38,take profit,3530,1.27,0.47
84,11/18/2013,11/21/2013,26,20.73,179.38,179.88,take profit,3550,1.27,0.58
85,11/21/2013,11/25/2013,33,22.73,179.88,180.75,take profit,3560,1.27,0.64
86,11/25/2013,11/27/2013,23,13.73,180.75,180.95,take profit,3590,1.27,0.38
87,11/27/2013,12/6/2013,41,38.73,180.95,181.02,take profit,3570,1.27,1.08
88,12/6/2013,12/13/2013,32,-13.14,181.02,178.11,exercised,3570,6.14,-0.37
89,12/16/2013,12/18/2013,48,39.73,179.23,181.65,take profit,3500,1.27,1.14
90,12/18/2013,12/20/2013,45,25.73,181.65,181.69,take profit,3560,1.27,0.72
91,12/20/2013,12/23/2013,29,18.73,181.69,182.51,take profit,3590,1.27,0.52
92,12/23/2013,12/26/2013,30,19.73,182.51,183.83,take profit,3600,1.27,0.55
93,12/26/2013,12/31/2013,31,21.73,183.83,184.88,take profit,3630,1.27,0.6
94,12/31/2013,1/8/2014,45,30.73,184.88,183.65,take profit,3630,1.27,0.85
95,1/8/2014,1/10/2014,41,21.73,183.65,184.13,take profit,3620,1.27,0.6
96,1/10/2014,1/15/2014,30,21.73,184.13,184.55,take profit,3640,1.27,0.6
97,1/15/2014,1/22/2014,37,28.73,184.55,184.31,take profit,3640,1.27,0.79
98,1/22/2014,1/24/2014,40,-265.27,184.31,178.6,stop loss,3620,1.27,-7.33
99,1/24/2014,1/28/2014,69,54.73,178.6,179.26,take profit,3490,1.27,1.57
100,1/28/2014,2/7/2014,60,57.73,179.26,179.88,take profit,3500,1.27,1.65
101,2/7/2014,2/11/2014,44,37.73,179.88,181.88,take profit,3530,1.27,1.07
102,2/11/2014,2/14/2014,42,33.73,181.88,184,take profit,3560,1.27,0.95
103,2/14/2014,2/20/2014,26,19.73,184,184.11,take profit,3630,1.27,0.54
104,2/20/2014,2/24/2014,37,22.73,184.11,185.11,take profit,3620,1.27,0.63
105,2/24/2014,2/27/2014,32,27.73,185.11,185.91,take profit,3660,1.27,0.76
106,2/27/2014,3/4/2014,40,29.73,185.91,187.65,take profit,3660,1.27,0.81
107,3/4/2014,3/10/2014,46,33.73,187.65,188.22,take profit,3680,1.27,0.92
108,3/10/2014,3/14/2014,28,-97.27,188.22,184.53,stop loss,3720,1.27,-2.61
109,3/14/2014,3/17/2014,74,58.73,184.53,186.32,take profit,3580,1.27,1.64
110,3/17/2014,3/18/2014,48,30.73,186.32,187.57,take profit,3660,1.27,0.84
111,3/18/2014,3/25/2014,55,39.73,187.57,186.39,take profit,3660,1.27,1.09
112,3/25/2014,3/31/2014,37,34.73,186.39,186.82,take profit,3680,1.27,0.94
113,3/31/2014,4/1/2014,33,23.73,186.82,188.3,take profit,3680,1.27,0.64
114,4/1/2014,4/9/2014,48,30.73,188.3,187.01,take profit,3700,1.27,0.83
115,4/9/2014,4/10/2014,43,-149.27,187.01,183.26,stop loss,3680,1.27,-4.06
116,4/10/2014,4/14/2014,54,29.73,183.26,183.02,take profit,3590,1.27,0.83
117,4/14/2014,4/15/2014,37,23.73,183.02,184.56,take profit,3610,1.27,0.66
118,4/15/2014,4/17/2014,57,42.73,184.56,186.37,take profit,3610,1.27,1.18
119,4/17/2014,4/21/2014,37,20.73,186.37,186.99,take profit,3670,1.27,0.56
120,4/21/2014,4/22/2014,25,15.73,186.99,187.94,take profit,3690,1.27,0.43
121,4/22/2014,4/29/2014,48,24.73,187.94,187.7,take profit,3690,1.27,0.67
122,4/29/2014,5/2/2014,52,31.73,187.7,188,take profit,3680,1.27,0.86
123,5/2/2014,5/7/2014,35,18.73,188,188,take profit,3710,1.27,0.5
124,5/7/2014,5/12/2014,54,44.73,188,189.85,take profit,3700,1.27,1.21
125,5/12/2014,5/16/2014,30,26.73,189.85,188.07,take profit,3760,1.27,0.71
126,5/16/2014,5/19/2014,34,19.73,188.07,188.82,take profit,3710,1.27,0.53
127,5/19/2014,5/21/2014,29,16.73,188.82,189.11,take profit,3740,1.27,0.45
128,5/21/2014,5/23/2014,37,23.73,189.11,190.25,take profit,3730,1.27,0.64
129,5/23/2014,5/27/2014,24,14.73,190.25,191.5,take profit,3760,1.27,0.39
130,5/27/2014,5/30/2014,39,25.73,191.5,192.63,take profit,3770,1.27,0.68
131,5/30/2014,6/5/2014,29,24.73,192.63,194.47,take profit,3810,1.27,0.65
132,6/5/2014,6/6/2014,38,24.73,194.47,195.51,take profit,3840,1.27,0.64
133,6/6/2014,6/10/2014,27,13.73,195.51,195.65,take profit,3870,1.27,0.35
134,6/10/2014,6/18/2014,35,27.73,195.65,196.3,take profit,3840,1.27,0.72
135,6/18/2014,6/23/2014,38,23.73,196.3,195.78,take profit,3860,1.27,0.61
136,6/23/2014,6/27/2014,32,22.73,195.78,195.67,take profit,3880,1.27,0.59
137,6/27/2014,7/1/2014,29,22.73,195.67,197.03,take profit,3870,1.27,0.59
138,7/1/2014,7/3/2014,36,21.73,197.03,198.25,take profit,3890,1.27,0.56
139,7/3/2014,7/11/2014,30,27.73,198.25,196.72,take profit,3930,1.27,0.71
140,7/11/2014,7/14/2014,33,17.73,196.72,197.55,take profit,3880,1.27,0.46
141,7/14/2014,7/16/2014,25,14.73,197.55,198,take profit,3910,1.27,0.38
142,7/16/2014,7/22/2014,41,23.73,198,198.06,take profit,3910,1.27,0.61
143,7/22/2014,8/1/2014,52,-215.27,198.06,192.39,stop loss,3900,1.27,-5.52
144,8/1/2014,8/4/2014,60,45.73,192.39,193.74,take profit,3750,1.27,1.22
145,8/4/2014,8/8/2014,39,36.73,193.74,192.96,take profit,3820,1.27,0.96
146,8/8/2014,8/11/2014,54,32.73,192.96,193.85,take profit,3790,1.27,0.86
147,8/11/2014,8/13/2014,35,28.73,193.85,194.98,take profit,3820,1.27,0.75
148,8/13/2014,8/18/2014,52,41.73,194.98,195.74,take profit,3840,1.27,1.09
149,8/18/2014,8/19/2014,36,20.73,195.74,198.427,take profit,3910,1.27,0.53
150,8/19/2014,8/22/2014,46,29.73,198.427,199.19,take profit,3910,1.27,0.76
151,8/22/2014,8/25/2014,23,11.73,199.19,200.06,take profit,3930,1.27,0.3
152,8/25/2014,8/27/2014,21,12.73,200.06,200.31,take profit,3960,1.27,0.32
153,8/27/2014,9/2/2014,26,15.73,200.31,200.54,take profit,3940,1.27,0.4
154,9/2/2014,9/5/2014,32,16.73,200.54,201.16,take profit,3940,1.27,0.42
155,9/5/2014,9/11/2014,29,20.73,201.16,200.27,take profit,3980,1.27,0.52
156,9/11/2014,9/17/2014,49,33.73,200.27,200.75,take profit,3930,1.27,0.86
157,9/17/2014,9/19/2014,44,29.73,200.75,200.88,take profit,3930,1.27,0.76
158,9/19/2014,9/23/2014,29,-103.27,200.88,197.72,stop loss,3970,1.27,-2.6
159,9/23/2014,9/24/2014,44,29.73,197.72,199.52,take profit,3880,1.27,0.77
160,9/24/2014,9/30/2014,36,28.73,199.52,196.92,take profit,3940,1.27,0.73
161,9/30/2014,10/3/2014,69,37.73,196.92,196.52,take profit,3840,1.27,0.98
162,10/3/2014,10/8/2014,42,28.73,196.52,196.79,take profit,3860,1.27,0.74
163,10/8/2014,10/10/2014,61,-302.27,196.79,190.18,stop loss,3860,1.27,-7.83
164,10/10/2014,10/15/2014,85,-46.27,190.18,186.425,reached minimum exit VIX,3710,1.27,-1.25
165,10/17/2014,10/20/2014,83,58.73,188.69,190.36,take profit,3670,1.27,1.6
166,10/20/2014,10/21/2014,53,42.73,190.36,193.71,take profit,3730,1.27,1.15
167,10/21/2014,10/24/2014,68,50.73,193.71,196.36,take profit,3770,1.27,1.35
168,10/24/2014,10/28/2014,47,37.73,196.36,198.41,take profit,3850,1.27,0.98
169,10/28/2014,10/31/2014,61,46.73,198.41,201.745,take profit,3890,1.27,1.2
170,10/31/2014,11/5/2014,47,36.73,201.745,202.39,take profit,3970,1.27,0.93
171,11/5/2014,11/7/2014,57,37.73,202.39,203.19,take profit,3980,1.27,0.95
172,11/7/2014,11/10/2014,31,15.73,203.19,203.84,take profit,4010,1.27,0.39
