Date,Time,Trade No.,Type,Instrument,Price,Quantity,Value,Effect,Fees
1/2/2013,2:45:00 PM CST,1,sell to open,SPY $143 put exp. 1/11/2013,30,1,30,credit,1.142
1/4/2013,2:45:00 PM CST,1,buy to close,SPY $143 put exp. 1/11/2013,13,1,13,debit,0.127
1/4/2013,2:45:00 PM CST,2,sell to open,SPY $144.5 put exp. 1/11/2013,30,1,30,credit,1.142
1/9/2013,2:45:00 PM CST,2,buy to close,SPY $144.5 put exp. 1/11/2013,10,1,10,debit,0.127
1/9/2013,2:45:00 PM CST,3,sell to open,SPY $144 put exp. 1/19/2013,36,1,36,credit,1.142
1/11/2013,2:45:00 PM CST,3,buy to close,SPY $144 put exp. 1/19/2013,14,1,14,debit,0.127
1/11/2013,2:45:00 PM CST,4,sell to open,SPY $145 put exp. 1/19/2013,24,1,24,credit,1.142
1/17/2013,2:45:00 PM CST,4,buy to close,SPY $145 put exp. 1/19/2013,4,1,4,debit,0.127
1/17/2013,2:45:00 PM CST,5,sell to open,SPY $146 put exp. 1/25/2013,35,1,35,credit,1.142
1/22/2013,2:45:00 PM CST,5,buy to close,SPY $146 put exp. 1/25/2013,7,1,7,debit,0.127
1/22/2013,2:45:00 PM CST,6,sell to open,SPY $147 put exp. 2/1/2013,32,1,32,credit,1.142
1/28/2013,2:45:00 PM CST,6,buy to close,SPY $147 put exp. 2/1/2013,11,1,11,debit,0.127
1/28/2013,2:45:00 PM CST,7,sell to open,SPY $148 put exp. 2/1/2013,21,1,21,credit,1.142
2/1/2013,2:45:00 PM CST,7,buy to close,SPY $148 put exp. 2/1/2013,1,1,1,debit,0.127
2/1/2013,2:45:00 PM CST,8,sell to open,SPY $149 put exp. 2/8/2013,22,1,22,credit,1.142
2/6/2013,2:45:00 PM CST,8,buy to close,SPY $149 put exp. 2/8/2013,8,1,8,debit,0.127
2/6/2013,2:45:00 PM CST,9,sell to open,SPY $149 put exp. 2/16/2013,41,1,41,credit,1.142
2/11/2013,2:45:00 PM CST,9,buy to close,SPY $149 put exp. 2/16/2013,16,1,16,debit,0.127
2/11/2013,2:45:00 PM CST,10,sell to open,SPY $150 put exp. 2/16/2013,24,1,24,credit,1.142
2/13/2013,2:45:00 PM CST,10,buy to close,SPY $150 put exp. 2/16/2013,8,1,8,debit,0.127
2/13/2013,2:45:00 PM CST,11,sell to open,SPY $150 put exp. 2/22/2013,33,1,33,credit,1.142
2/19/2013,2:45:00 PM CST,11,buy to close,SPY $150 put exp. 2/22/2013,6,1,6,debit,0.127
2/19/2013,2:45:00 PM CST,12,sell to open,SPY $151 put exp. 3/1/2013,39,1,39,credit,1.142
2/25/2013,2:45:00 PM CST,12,buy to close,SPY $151 put exp. 3/1/2013,244,1,244,debit,0.127
2/25/2013,2:45:00 PM CST,13,sell to open,SPY $146 put exp. 3/1/2013,49,1,49,credit,1.142
2/26/2013,2:45:00 PM CST,13,buy to close,SPY $146 put exp. 3/1/2013,17,1,17,debit,0.127
2/26/2013,2:45:00 PM CST,14,sell to open,SPY $146 put exp. 3/8/2013,58,1,58,credit,1.142
2/27/2013,2:45:00 PM CST,14,buy to close,SPY $146 put exp. 3/8/2013,21,1,21,debit,0.127
2/27/2013,2:45:00 PM CST,15,sell to open,SPY $149 put exp. 3/8/2013,47,1,47,credit,1.142
3/4/2013,2:45:00 PM CST,15,buy to close,SPY $149 put exp. 3/8/2013,11,1,11,debit,0.127
3/4/2013,2:45:00 PM CST,16,sell to open,SPY $151.5 put exp. 3/8/2013,30,1,30,credit,1.142
3/5/2013,2:45:00 PM CST,16,buy to close,SPY $151.5 put exp. 3/8/2013,11,1,11,debit,0.127
3/5/2013,2:45:00 PM CST,17,sell to open,SPY $151 put exp. 3/16/2013,44,1,44,credit,1.142
3/8/2013,2:45:00 PM CST,17,buy to close,SPY $151 put exp. 3/16/2013,12,1,12,debit,0.127
3/8/2013,2:45:00 PM CST,18,sell to open,SPY $153 put exp. 3/16/2013,30,1,30,credit,1.142
3/13/2013,2:45:00 PM CDT,18,buy to close,SPY $153 put exp. 3/16/2013,7,1,7,debit,0.127
3/13/2013,2:45:00 PM CDT,19,sell to open,SPY $153 put exp. 3/22/2013,34,1,34,credit,1.142
3/15/2013,2:45:00 PM CDT,19,buy to close,SPY $153 put exp. 3/22/2013,15,1,15,debit,0.127
3/15/2013,2:45:00 PM CDT,20,sell to open,SPY $154 put exp. 3/22/2013,25,1,25,credit,1.142
3/22/2013,2:45:00 PM CDT,20,buy to close,SPY $154 put exp. 3/22/2013,1,1,1,debit,0.127
3/22/2013,2:45:00 PM CDT,21,sell to open,SPY $153 put exp. 3/28/2013,41,1,41,credit,1.142
3/26/2013,2:45:00 PM CDT,21,buy to close,SPY $153 put exp. 3/28/2013,6,1,6,debit,0.127
3/26/2013,2:45:00 PM CDT,22,sell to open,SPY $153 put exp. 4/5/2013,33,1,33,credit,1.142
4/1/2013,2:45:00 PM CDT,22,buy to close,SPY $153 put exp. 4/5/2013,14,1,14,debit,0.127
4/1/2013,2:45:00 PM CDT,23,sell to open,SPY $154 put exp. 4/5/2013,24,1,24,credit,1.142
4/2/2013,2:45:00 PM CDT,23,buy to close,SPY $154 put exp. 4/5/2013,9,1,9,debit,0.127
4/2/2013,2:45:00 PM CDT,24,sell to open,SPY $154 put exp. 4/12/2013,35,1,35,credit,1.142
4/9/2013,2:45:00 PM CDT,24,buy to close,SPY $154 put exp. 4/12/2013,10,1,10,debit,0.127
4/9/2013,2:45:00 PM CDT,25,sell to open,SPY $154 put exp. 4/20/2013,42,1,42,credit,1.142
4/10/2013,2:45:00 PM CDT,25,buy to close,SPY $154 put exp. 4/20/2013,14,1,14,debit,0.127
4/10/2013,2:45:00 PM CDT,26,sell to open,SPY $156 put exp. 4/20/2013,31,1,31,credit,1.142
4/15/2013,2:45:00 PM CDT,26,buy to close,SPY $156 put exp. 4/20/2013,193,1,193,debit,0.127
4/15/2013,2:45:00 PM CDT,27,sell to open,SPY $151 put exp. 4/20/2013,50,1,50,credit,1.142
4/16/2013,2:45:00 PM CDT,27,buy to close,SPY $151 put exp. 4/20/2013,7,1,7,debit,0.127
4/16/2013,2:45:00 PM CDT,28,sell to open,SPY $154 put exp. 4/26/2013,46,1,46,credit,1.142
4/23/2013,2:45:00 PM CDT,28,buy to close,SPY $154 put exp. 4/26/2013,8,1,8,debit,0.127
4/23/2013,2:45:00 PM CDT,29,sell to open,SPY $154 put exp. 5/3/2013,32,1,32,credit,1.142
4/29/2013,2:45:00 PM CDT,29,buy to close,SPY $154 put exp. 5/3/2013,9,1,9,debit,0.127
4/29/2013,2:45:00 PM CDT,30,sell to open,SPY $157 put exp. 5/3/2013,27,1,27,credit,1.142
5/2/2013,2:45:00 PM CDT,30,buy to close,SPY $157 put exp. 5/3/2013,5,1,5,debit,0.127
5/2/2013,2:45:00 PM CDT,31,sell to open,SPY $157 put exp. 5/10/2013,39,1,39,credit,1.142
5/3/2013,2:45:00 PM CDT,31,buy to close,SPY $157 put exp. 5/10/2013,11,1,11,debit,0.127
5/3/2013,2:45:00 PM CDT,32,sell to open,SPY $159 put exp. 5/10/2013,28,1,28,credit,1.142
5/7/2013,2:45:00 PM CDT,32,buy to close,SPY $159 put exp. 5/10/2013,7,1,7,debit,0.127
5/7/2013,2:45:00 PM CDT,33,sell to open,SPY $160 put exp. 5/18/2013,40,1,40,credit,1.142
5/10/2013,2:45:00 PM CDT,33,buy to close,SPY $160 put exp. 5/18/2013,18,1,18,debit,0.127
5/10/2013,2:45:00 PM CDT,34,sell to open,SPY $161.5 put exp. 5/18/2013,32,1,32,credit,1.142
5/14/2013,2:45:00 PM CDT,34,buy to close,SPY $161.5 put exp. 5/18/2013,10,1,10,debit,0.127
5/14/2013,2:45:00 PM CDT,35,sell to open,SPY $162 put exp. 5/24/2013,41,1,41,credit,1.142
5/17/2013,2:45:00 PM CDT,35,buy to close,SPY $162 put exp. 5/24/2013,13,1,13,debit,0.127
5/17/2013,2:45:00 PM CDT,36,sell to open,SPY $164.5 put exp. 5/24/2013,36,1,36,credit,1.142
5/24/2013,2:45:00 PM CDT,36,buy to close,SPY $164.5 put exp. 5/24/2013,1,1,1,debit,0.127
5/24/2013,2:45:00 PM CDT,37,sell to open,SPY $163 put exp. 5/31/2013,32,1,32,credit,1.142
5/30/2013,2:45:00 PM CDT,37,buy to close,SPY $163 put exp. 5/31/2013,5,1,5,debit,0.127
5/30/2013,2:45:00 PM CDT,38,sell to open,SPY $162.5 put exp. 6/7/2013,42,1,42,credit,1.142
6/7/2013,2:45:00 PM CDT,38,buy to close,SPY $162.5 put exp. 6/7/2013,1,1,1,debit,0.127
6/7/2013,2:45:00 PM CDT,39,sell to open,SPY $161.5 put exp. 6/14/2013,35,1,35,credit,1.142
6/13/2013,2:45:00 PM CDT,39,buy to close,SPY $161.5 put exp. 6/14/2013,6,1,6,debit,0.127
6/13/2013,2:45:00 PM CDT,40,sell to open,SPY $161 put exp. 6/22/2013,67,1,67,credit,1.142
6/18/2013,2:45:00 PM CDT,40,buy to close,SPY $161 put exp. 6/22/2013,27,1,27,debit,0.127
6/18/2013,2:45:00 PM CDT,41,sell to open,SPY $162 put exp. 6/28/2013,88,1,88,credit,1.142
6/20/2013,2:45:00 PM CDT,41,buy to close,SPY $162 put exp. 6/28/2013,380,1,380,debit,0.127
6/20/2013,2:45:00 PM CDT,42,sell to open,SPY $155 put exp. 6/28/2013,95,1,95,credit,1.142
6/25/2013,2:45:00 PM CDT,42,buy to close,SPY $155 put exp. 6/28/2013,27,1,27,debit,0.127
6/25/2013,2:45:00 PM CDT,43,sell to open,SPY $154 put exp. 7/5/2013,61,1,61,credit,1.142
6/26/2013,2:45:00 PM CDT,43,buy to close,SPY $154 put exp. 7/5/2013,28,1,28,debit,0.127
6/26/2013,2:45:00 PM CDT,44,sell to open,SPY $156 put exp. 7/5/2013,51,1,51,credit,1.142
7/1/2013,2:45:00 PM CDT,44,buy to close,SPY $156 put exp. 7/5/2013,9,1,9,debit,0.127
7/1/2013,2:45:00 PM CDT,45,sell to open,SPY $158.5 put exp. 7/5/2013,32,1,32,credit,1.142
7/3/2013,2:45:00 PM CDT,45,buy to close,SPY $158.5 put exp. 7/5/2013,13,1,13,debit,0.127
7/3/2013,2:45:00 PM CDT,46,sell to open,SPY $158 put exp. 7/12/2013,54,1,54,credit,1.142
7/5/2013,2:45:00 PM CDT,46,buy to close,SPY $158 put exp. 7/12/2013,12,1,12,debit,0.127
7/5/2013,2:45:00 PM CDT,47,sell to open,SPY $160.5 put exp. 7/12/2013,34,1,34,credit,1.142
7/9/2013,2:45:00 PM CDT,47,buy to close,SPY $160.5 put exp. 7/12/2013,6,1,6,debit,0.127
7/9/2013,2:45:00 PM CDT,48,sell to open,SPY $162 put exp. 7/20/2013,50,1,50,credit,1.142
7/11/2013,2:45:00 PM CDT,48,buy to close,SPY $162 put exp. 7/20/2013,15,1,15,debit,0.127
7/11/2013,2:45:00 PM CDT,49,sell to open,SPY $164.5 put exp. 7/20/2013,37,1,37,credit,1.142
7/15/2013,2:45:00 PM CDT,49,buy to close,SPY $164.5 put exp. 7/20/2013,14,1,14,debit,0.127
7/15/2013,2:45:00 PM CDT,50,sell to open,SPY $166 put exp. 7/20/2013,29,1,29,credit,1.142
7/17/2013,2:45:00 PM CDT,50,buy to close,SPY $166 put exp. 7/20/2013,12,1,12,debit,0.127
7/17/2013,2:45:00 PM CDT,51,sell to open,SPY $165 put exp. 7/26/2013,37,1,37,credit,1.142
7/19/2013,2:45:00 PM CDT,51,buy to close,SPY $165 put exp. 7/26/2013,11,1,11,debit,0.127
7/19/2013,2:45:00 PM CDT,52,sell to open,SPY $167 put exp. 7/26/2013,27,1,27,credit,1.142
7/25/2013,2:45:00 PM CDT,52,buy to close,SPY $167 put exp. 7/26/2013,6,1,6,debit,0.127
7/25/2013,2:45:00 PM CDT,53,sell to open,SPY $166 put exp. 8/2/2013,39,1,39,credit,1.142
7/31/2013,2:45:00 PM CDT,53,buy to close,SPY $166 put exp. 8/2/2013,13,1,13,debit,0.127
7/31/2013,2:45:00 PM CDT,54,sell to open,SPY $166 put exp. 8/9/2013,46,1,46,credit,1.142
8/1/2013,2:45:00 PM CDT,54,buy to close,SPY $166 put exp. 8/9/2013,18,1,18,debit,0.127
8/1/2013,2:45:00 PM CDT,55,sell to open,SPY $168 put exp. 8/9/2013,39,1,39,credit,1.142
8/2/2013,2:45:00 PM CDT,55,buy to close,SPY $168 put exp. 8/9/2013,17,1,17,debit,0.127
8/2/2013,2:45:00 PM CDT,56,sell to open,SPY $169 put exp. 8/9/2013,29,1,29,credit,1.142
8/9/2013,2:45:00 PM CDT,56,buy to close,SPY $169 put exp. 8/9/2013,2,1,2,debit,0.127
8/9/2013,2:45:00 PM CDT,57,sell to open,SPY $166.5 put exp. 8/17/2013,39,1,39,credit,1.142
8/13/2013,2:45:00 PM CDT,57,buy to close,SPY $166.5 put exp. 8/17/2013,10,1,10,debit,0.127
8/13/2013,2:45:00 PM CDT,58,sell to open,SPY $167 put exp. 8/23/2013,51,1,51,credit,1.142
8/19/2013,2:45:00 PM CDT,58,buy to close,SPY $167 put exp. 8/23/2013,226,1,226,debit,0.127
8/19/2013,2:45:00 PM CDT,59,sell to open,SPY $162.5 put exp. 8/23/2013,34,1,34,credit,1.142
8/20/2013,2:45:00 PM CDT,59,buy to close,SPY $162.5 put exp. 8/23/2013,14,1,14,debit,0.127
8/20/2013,2:45:00 PM CDT,60,sell to open,SPY $162 put exp. 8/30/2013,48,1,48,credit,1.142
8/23/2013,2:45:00 PM CDT,60,buy to close,SPY $162 put exp. 8/30/2013,11,1,11,debit,0.127
8/23/2013,2:45:00 PM CDT,61,sell to open,SPY $164.5 put exp. 8/30/2013,31,1,31,credit,1.142
8/27/2013,2:45:00 PM CDT,61,buy to close,SPY $164.5 put exp. 8/30/2013,157,1,157,debit,0.127
8/27/2013,2:45:00 PM CDT,62,sell to open,SPY $159 put exp. 9/6/2013,44,1,44,credit,1.142
9/3/2013,2:45:00 PM CDT,62,buy to close,SPY $159 put exp. 9/6/2013,7,1,7,debit,0.127
9/3/2013,2:45:00 PM CDT,63,sell to open,SPY $160.5 put exp. 9/13/2013,51,1,51,credit,1.142
9/4/2013,2:45:00 PM CDT,63,buy to close,SPY $160.5 put exp. 9/13/2013,23,1,23,debit,0.127
9/4/2013,2:45:00 PM CDT,64,sell to open,SPY $162.5 put exp. 9/13/2013,45,1,45,credit,1.142
9/9/2013,2:45:00 PM CDT,64,buy to close,SPY $162.5 put exp. 9/13/2013,9,1,9,debit,0.127
9/9/2013,2:45:00 PM CDT,65,sell to open,SPY $165.5 put exp. 9/13/2013,35,1,35,credit,1.142
9/10/2013,2:45:00 PM CDT,65,buy to close,SPY $165.5 put exp. 9/13/2013,10,1,10,debit,0.127
9/10/2013,2:45:00 PM CDT,66,sell to open,SPY $165 put exp. 9/21/2013,54,1,54,credit,1.142
9/13/2013,2:45:00 PM CDT,66,buy to close,SPY $165 put exp. 9/21/2013,25,1,25,debit,0.127
9/13/2013,2:45:00 PM CDT,67,sell to open,SPY $166 put exp. 9/21/2013,38,1,38,credit,1.142
9/17/2013,2:45:00 PM CDT,67,buy to close,SPY $166 put exp. 9/21/2013,15,1,15,debit,0.127
9/17/2013,2:45:00 PM CDT,68,sell to open,SPY $166.5 put exp. 9/27/2013,47,1,47,credit,1.142
9/18/2013,2:45:00 PM CDT,68,buy to close,SPY $166.5 put exp. 9/27/2013,16,1,16,debit,0.127
9/18/2013,2:45:00 PM CDT,69,sell to open,SPY $169 put exp. 9/27/2013,40,1,40,credit,1.142
9/26/2013,2:45:00 PM CDT,69,buy to close,SPY $169 put exp. 9/27/2013,15,1,15,debit,0.127
9/26/2013,2:45:00 PM CDT,70,sell to open,SPY $166.5 put exp. 10/4/2013,39,1,39,credit,1.142
10/1/2013,2:45:00 PM CDT,70,buy to close,SPY $166.5 put exp. 10/4/2013,14,1,14,debit,0.127
10/1/2013,2:45:00 PM CDT,71,sell to open,SPY $166 put exp. 10/11/2013,52,1,52,credit,1.142
10/10/2013,2:45:00 PM CDT,71,buy to close,SPY $166 put exp. 10/11/2013,6,1,6,debit,0.127
10/10/2013,2:45:00 PM CDT,72,sell to open,SPY $165 put exp. 10/19/2013,52,1,52,credit,1.142
10/14/2013,2:45:00 PM CDT,72,buy to close,SPY $165 put exp. 10/19/2013,24,1,24,debit,0.127
10/14/2013,2:45:00 PM CDT,73,sell to open,SPY $167.5 put exp. 10/19/2013,42,1,42,credit,1.142
10/16/2013,2:45:00 PM CDT,73,buy to close,SPY $167.5 put exp. 10/19/2013,12,1,12,debit,0.127
10/16/2013,2:45:00 PM CDT,74,sell to open,SPY $168 put exp. 10/25/2013,50,1,50,credit,1.142
10/17/2013,2:45:00 PM CDT,74,buy to close,SPY $168 put exp. 10/25/2013,16,1,16,debit,0.127
10/17/2013,2:45:00 PM CDT,75,sell to open,SPY $170.5 put exp. 10/25/2013,35,1,35,credit,1.142
10/21/2013,2:45:00 PM CDT,75,buy to close,SPY $170.5 put exp. 10/25/2013,11,1,11,debit,0.127
